corpus,name,schema,constructor,positive_nodes
Coq root values,Lagrange,all normalized constructors,Lam,10
Coq root values,Lagrange,all normalized constructors,Coq:Sort,1
Coq root values,Lagrange,all normalized constructors,Coq:CaseMatch,1
Coq root values,Lagrange,all normalized constructors,Coq:CaseBranches,1
Coq root values,Lagrange,all normalized constructors,Coq:Case,1
Coq root values,Lagrange,all normalized constructors,Pi,1
Coq root values,Lagrange,all normalized constructors,Cast,1
Coq root values,Lagrange,shared binary core,App,90
Coq root values,Lagrange,shared binary core,Lam,10
Coq root values,Lagrange,shared binary core,Pi,1
Coq root values,Law_of_the_Mean,all normalized constructors,App,827
Coq root values,Law_of_the_Mean,all normalized constructors,Lam,69
Coq root values,Law_of_the_Mean,all normalized constructors,Pi,22
Coq root values,Law_of_the_Mean,all normalized constructors,Let,9
Coq root values,Law_of_the_Mean,all normalized constructors,Cast,1
Coq root values,Law_of_the_Mean,shared binary core,App,827
Coq root values,Law_of_the_Mean,shared binary core,Lam,69
Coq root values,Law_of_the_Mean,shared binary core,Pi,22
Coq root values,Law_of_the_Mean,shared binary core,Let,9
Coq root values,Liouville_theorem,all normalized constructors,App,759
Coq root values,Liouville_theorem,all normalized constructors,Pi,4
Coq root values,Liouville_theorem,all normalized constructors,Cast,8
Coq root values,Liouville_theorem,all normalized constructors,Lam,76
Coq root values,Liouville_theorem,all normalized constructors,Coq:CaseMatch,14
Coq root values,Liouville_theorem,all normalized constructors,Coq:Sort,2
Coq root values,Liouville_theorem,all normalized constructors,Coq:CaseBranches,15
Coq root values,Liouville_theorem,all normalized constructors,Coq:Case,15
Coq root values,Liouville_theorem,all normalized constructors,Let,5
Coq root values,Liouville_theorem,shared binary core,App,759
Coq root values,Liouville_theorem,shared binary core,Pi,4
Coq root values,Liouville_theorem,shared binary core,Lam,76
Coq root values,Liouville_theorem,shared binary core,Let,5
Coq root values,Pigeonhole,all normalized constructors,Coq:Sort,1
Coq root values,Pigeonhole,all normalized constructors,App,49
Coq root values,Pigeonhole,all normalized constructors,Pi,9
Coq root values,Pigeonhole,all normalized constructors,Lam,12
Coq root values,Pigeonhole,all normalized constructors,Let,1
Coq root values,Pigeonhole,all normalized constructors,Cast,1
Coq root values,Pigeonhole,shared binary core,App,49
Coq root values,Pigeonhole,shared binary core,Pi,9
Coq root values,Pigeonhole,shared binary core,Lam,12
Coq root values,Pigeonhole,shared binary core,Let,1
Coq root values,Q_countable,all normalized constructors,App,155
Coq root values,Q_countable,all normalized constructors,Lam,45
Coq root values,Q_countable,all normalized constructors,Coq:CaseMatch,10
Coq root values,Q_countable,all normalized constructors,Pi,7
Coq root values,Q_countable,all normalized constructors,Coq:CaseBranches,12
Coq root values,Q_countable,all normalized constructors,Coq:Case,14
Coq root values,Q_countable,all normalized constructors,Let,8
Coq root values,Q_countable,all normalized constructors,Cast,1
Coq root values,Q_countable,shared binary core,App,155
Coq root values,Q_countable,shared binary core,Lam,45
Coq root values,Q_countable,shared binary core,Pi,7
Coq root values,Q_countable,shared binary core,Let,8
Coq root values,Quadratic_reciprocity,all normalized constructors,App,14169
Coq root values,Quadratic_reciprocity,all normalized constructors,Lam,3285
Coq root values,Quadratic_reciprocity,all normalized constructors,Coq:CaseMatch,26
Coq root values,Quadratic_reciprocity,all normalized constructors,Pi,606
Coq root values,Quadratic_reciprocity,all normalized constructors,Cast,135
Coq root values,Quadratic_reciprocity,all normalized constructors,Coq:CaseBranches,24
Coq root values,Quadratic_reciprocity,all normalized constructors,Coq:Case,27
Coq root values,Quadratic_reciprocity,all normalized constructors,Let,184
Coq root values,Quadratic_reciprocity,all normalized constructors,Coq:Sort,3
Coq root values,Quadratic_reciprocity,shared binary core,App,14169
Coq root values,Quadratic_reciprocity,shared binary core,Lam,3285
Coq root values,Quadratic_reciprocity,shared binary core,Pi,606
Coq root values,Quadratic_reciprocity,shared binary core,Let,184
Coq root values,Strict_Rel_is_Strict_Included,all normalized constructors,Coq:Sort,1
Coq root values,Strict_Rel_is_Strict_Included,all normalized constructors,App,23
Coq root values,Strict_Rel_is_Strict_Included,all normalized constructors,Lam,7
Coq root values,Strict_Rel_is_Strict_Included,all normalized constructors,Cast,3
Coq root values,Strict_Rel_is_Strict_Included,shared binary core,App,23
Coq root values,Strict_Rel_is_Strict_Included,shared binary core,Lam,7
Coq root values,Sylow_s_theorem,all normalized constructors,App,3670
Coq root values,Sylow_s_theorem,all normalized constructors,Lam,518
Coq root values,Sylow_s_theorem,all normalized constructors,Pi,277
Coq root values,Sylow_s_theorem,all normalized constructors,Coq:Sort,1
Coq root values,Sylow_s_theorem,all normalized constructors,Coq:CaseMatch,27
Coq root values,Sylow_s_theorem,all normalized constructors,Coq:CaseBranches,34
Coq root values,Sylow_s_theorem,all normalized constructors,Coq:Case,40
Coq root values,Sylow_s_theorem,all normalized constructors,Cast,24
Coq root values,Sylow_s_theorem,all normalized constructors,Let,5
Coq root values,Sylow_s_theorem,shared binary core,App,3670
Coq root values,Sylow_s_theorem,shared binary core,Lam,518
Coq root values,Sylow_s_theorem,shared binary core,Pi,277
Coq root values,Sylow_s_theorem,shared binary core,Let,5
Coq root values,Taylor,all normalized constructors,App,747
