corpus,name,nodes,positive_nodes,zero_fraction,positive_mean,positive_variance,variance_ratio_to_ztp,fraction_degree_1,fraction_degree_2,fraction_degree_3,max_degree,poisson_lambda,poisson_ks,poisson_bootstrap_p,poisson_aic,geometric_aic,negative_binomial_aic,cmp_aic,cmp_nu,cmp_at_bound,aic_winner,delta_aic_poisson_cmp,delta_aic_poisson_cmp_per_positive_node,ordinary_poisson_aic_all,zero_inflated_poisson_aic_all,zip_lambda,zip_pi,zip_at_zero_boundary,zip_ks,zip_bootstrap_p,hurdle_poisson_aic_all,hurdle_geometric_aic_all,hurdle_negative_binomial_aic_all,hurdle_cmp_aic_all,mixed_model_aic_winner,delta_aic_zip_hurdle_cmp,delta_aic_zip_best_full_model,delta_aic_hurdle_poisson_cmp,schema
Coq root values,Goedel_sIncompleteness1st,215,147,0.31627906976744186,2.061224489795918,0.05747605164514785,0.04541407080317224,0.0,0.9387755102040817,0.061224489795918366,3,1.6752284890415179,0.3859960007543953,0.005,344.45093874137325,421.77982536387367,346.50690408179,71.71512102302222,69.14932811662638,False,cmp,272.73581771835103,1.8553456987642927,623.6448571873358,614.7850624193693,1.6752284890415179,0.15874023466033327,False,0.2639135447018423,0.005,614.7850624193693,692.1139490418697,616.841027759786,342.0492447010182,hurdle_cmp,272.7358177183511,272.7358177183511,272.7358177183511,shared binary core
Coq root values,IVT_cor,643,526,0.18195956454121306,2.043726235741445,0.12546444216339692,0.10092147411292882,0.022813688212927757,0.9296577946768061,0.028517110266159697,4,1.6520213866785807,0.368891160849932,0.005,1231.9997045873188,1491.7743076302554,1234.0013713436658,458.3570058570258,13.81585572568433,False,cmp,773.642698730293,1.4708036097534087,1842.2596881745178,1844.2596881745178,1.671850699844479,0.0,True,0.30141598801405156,0.005,1844.0162434141516,2103.7908464570883,1846.0179101704987,1070.3735446838587,hurdle_cmp,773.8861434906592,773.8861434906592,773.642698730293,all normalized constructors
Coq root values,IVT_cor,612,495,0.19117647058823528,2.0282828282828285,0.03152331394755637,0.025766536586277703,0.00202020202020202,0.9676767676767677,0.030303030303030304,3,1.631463347338998,0.3947992789236241,0.005,1136.5308907538529,1393.6443131139267,1138.530947590267,152.782515286548,23.764816657428693,False,cmp,983.7483754673049,1.9873704554895049,1733.7976274326577,1735.7976274326577,1.6405228758169934,0.0,True,0.3191305300482761,0.005,1735.7503188632618,1992.8637412233356,1737.7503756996757,752.0019433959568,hurdle_cmp,983.7956840367009,983.7956840367009,983.748375467305,shared binary core
Coq root values,Lagrange,148,106,0.28378378378378377,2.0,0.05660377358490566,0.04767643221074554,0.018867924528301886,0.9716981132075472,0.0,4,1.5936242600400345,0.38750781543165946,0.005,243.2512715018082,295.8944045574168,245.25129900138484,54.296571998708714,17.828811393034055,False,cmp,188.95469950309948,1.7825915047462215,422.7698504710961,421.81276864842505,1.5936242600400345,0.10114795039801641,False,0.2775393813226751,0.005,421.81276864842505,474.4559017040337,423.8127961480017,232.8580691453256,hurdle_cmp,188.95469950309945,188.95469950309945,188.95469950309945,all normalized constructors
Coq root values,Lagrange,143,101,0.2937062937062937,2.0,0.0,0.0,0.0,1.0,0.0,2,1.5936242600400345,0.40637573995996135,0.005,229.77791263558188,282.0314609462179,231.77903819805937,3.9999999999417923,563.5224792713606,False,cmp,225.7779126356401,2.235424877580595,406.4648113480248,404.93288455217805,1.5936242600400345,0.11360071002437983,False,0.2870206275241685,0.005,404.93288455217805,457.18643286281406,406.9340101146555,179.15497191653793,hurdle_cmp,225.77791263564012,225.77791263564012,225.77791263564012,shared binary core
Coq root values,Law_of_the_Mean,1108,928,0.1624548736462094,2.009698275862069,0.009604219307372172,0.008005868823591332,0.0,0.990301724137931,0.009698275862068966,3,1.606627358698813,0.4030709171632518,0.005,2106.1640865328754,2587.3955516846354,2108.16419612672,105.35696076962631,111.41204167096623,False,cmp,2000.8071257632491,2.1560421613828114,3096.0285347206227,3098.0285347206227,1.6832129963898916,0.0,True,0.3360220208565662,0.005,3091.4438221140313,3572.675287265791,3093.443931707876,1090.6366963507821,hurdle_cmp,2007.3918383698406,2007.3918383698406,2000.8071257632491,all normalized constructors
Coq root values,Law_of_the_Mean,1107,927,0.16260162601626016,2.0097087378640777,0.00961447827316429,0.008014331102447468,0.0,0.9902912621359223,0.009708737864077669,3,1.606641369914897,0.40306736794917625,0.005,2103.908780915474,2584.622916336371,2105.9093230635494,105.33745898783673,111.38945596872115,False,cmp,1998.5713219276372,2.1559561185842906,3093.3585783650274,3095.3585783650274,1.6829268292682926,0.0,True,0.33596475836442374,0.005,3088.8337810528246,3569.5479164737217,3090.8343232009,1090.2624591251874,hurdle_cmp,2005.09611923984,2005.09611923984,1998.5713219276372,shared binary core
Coq root values,Liouville_theorem,1094,898,0.17915904936014626,2.0033407572383073,0.10800665671301231,0.090646192546766,0.035634743875278395,0.9420935412026726,0.005567928730512249,4,1.5981067508629536,0.36959926250007097,0.005,2065.561124629514,2495.9385528730427,2067.608543116638,703.534420525837,14.36138319252722,False,cmp,1362.0267041036768,1.5167335235007537,3096.4541161251,3098.4541161251,1.6444241316270567,0.0,True,0.3022915843024164,0.005,3096.174746304856,3526.5521745483848,3098.22216479198,1734.1480422011791,hurdle_cmp,1364.3060739239208,1364.3060739239208,1362.0267041036768,all normalized constructors
Coq root values,Liouville_theorem,1040,844,0.18846153846153846,2.004739336492891,0.0070865434289436435,0.005938575663300371,0.001184834123222749,0.9928909952606635,0.005924170616113744,3,1.5999822677973081,0.4035722345723564,0.005,1911.2672694683333,2347.6006027412714,1913.3845910633959,80.72070863499539,29.23214863570511,False,cmp,1830.546560833338,2.1688940294233863,2918.6714547746897,2920.6714547746897,1.626923076923077,0.0,True,0.326854949160183,0.005,2919.954975813665,3356.288309086603,2922.0722974087275,1089.408414980327,hurdle_cmp,1831.2630397943626,1831.2630397943626,1830.546560833338,shared binary core
Coq root values,Pigeonhole,110,73,0.33636363636363636,2.0,0.0273972602739726,0.023076263992415646,0.0136986301369863,0.9726027397260274,0.0136986301369863,3,1.5936242600400345,0.39267710982297505,0.005,167.442490834013,204.39897672350403,169.44249795538798,25.106602354865117,21.026404376315682,False,cmp,142.33588847914788,1.9498066914951764,313.3375518505196,309.93316736500685,1.5936242600400345,0.16713571664666976,False,0.2605948092461561,0.005,309.93316736500685,346.8896532544979,311.93317448638186,167.59727888585897,hurdle_cmp,142.33588847914788,142.33588847914788,142.33588847914788,all normalized constructors
Coq root values,Pigeonhole,108,71,0.3425925925925926,2.0140845070422535,0.013886133703630229,0.011521308875079751,0.0,0.9859154929577465,0.014084507042253521,3,1.6124986292154777,0.4015858778267716,0.005,163.3745061876625,200.23310057615473,165.37630716595444,14.511208652958885,129.45206053891116,False,cmp,148.8632975347036,2.096666162460614,308.3400909200418,304.2063831709545,1.6124986292154777,0.17886809322853967,False,0.2640055307935258,0.005,304.2063831709545,341.0649775594468,306.20818414924645,155.34308563625092,hurdle_cmp,148.86329753470358,148.86329753470358,148.86329753470358,shared binary core
Coq root values,Q_countable,338,252,0.25443786982248523,2.0555555555555554,0.33818342151675485,0.2687540377250036,0.0873015873015873,0.8253968253968254,0.031746031746031744,4,1.6677199937695275,0.3005339744844353,0.005,613.2831530831932,719.7220546032033,615.2832341062101,423.5378699066823,7.777340095197381,False,cmp,189.74528317651084,0.752957472922662,1001.7040826099116,998.6821833683532,1.6677199937695275,0.08105414312733096,False,0.22406675020733052,0.005,998.6821833683532,1105.1210848883634,1000.6822643913702,808.9369001918424,hurdle_cmp,189.74528317651084,189.74528317651084,189.74528317651084,all normalized constructors
Coq root values,Q_countable,301,215,0.2857142857142857,2.0372093023255813,0.035824770146024865,0.029011540277076975,0.0,0.9627906976744186,0.037209302325581395,3,1.6433549276324322,0.39385437469314455,0.005,496.74795520255304,609.0508033236589,498.7479909523879,72.35770701694128,80.75301900061302,False,cmp,424.39024818561177,1.9739081310958686,865.0359106897146,858.9062475308779,1.6433549276324322,0.11452512345732392,False,0.28132455335224604,0.005,858.9062475308779,971.2090956519837,860.9062832807127,434.5159993452661,hurdle_cmp,424.39024818561177,424.39024818561177,424.39024818561177,shared binary core
Coq root values,Quadratic_reciprocity,21097,18459,0.1250414750912452,2.0099680372717916,0.01864488223316487,0.015537501566882857,0.0029254022428083864,0.9856438593639959,0.009968037271791538,4,1.6069886252670655,0.40005400976191363,0.005,41921.815616726235,51435.380871074754,41923.87286237501,3665.886593322037,24.091552074415254,False,cmp,38255.9290234042,2.0724811215886123,58368.09389080292,58370.09389080292,1.7586386690050717,0.0,True,0.34765507417996616,0.005,57824.66081177189,67338.22606612042,57826.718057420665,19568.731788367695,hurdle_cmp,38801.362102435225,38801.362102435225,38255.9290234042,all normalized constructors
Coq root values,Quadratic_reciprocity,20882,18244,0.12632889569964562,2.0099210699408023,0.010151517558688596,0.008460075671870019,0.0001644376233282175,0.9897500548125411,0.010085507564130673,3,1.6069257278814715,0.4028309044359987,0.005,41376.286168350925,50835.134499313375,41378.295847079185,2119.924181699287,32.77499125186864,False,cmp,39256.36198665164,2.151740955199059,57739.15160031244,57741.15160031244,1.7560099607317308,0.0,True,0.34958048418433785,0.005,57221.377055090736,66680.22538605318,57223.38673381899,17965.015068439094,hurdle_cmp,39776.136531873344,39776.136531873344,39256.36198665164,shared binary core
Coq root values,Strict_Rel_is_Strict_Included,48,34,0.2916666666666667,1.9705882352941178,0.02854671280276816,0.024830143870139508,0.029411764705882353,0.9705882352941176,0.0,2,1.5540077936872179,0.3871686769010138,0.005,78.19840180940975,94.86679626770277,80.20102649745316,13.023016617109533,403.17415730931197,False,cmp,65.17538519230021,1.9169230938911828,137.05983838022433,138.14757795344107,1.5540077936872179,0.10178485654733054,False,0.2742444794715515,0.005,138.14757795344107,154.8159724117341,140.15020264148447,72.97219276114086,hurdle_cmp,65.17538519230021,65.17538519230021,65.17538519230021,all normalized constructors
Coq root values,Strict_Rel_is_Strict_Included,44,30,0.3181818181818182,2.0,0.0,0.0,0.0,1.0,0.0,2,1.5936242600400345,0.40637573995996135,0.005,69.65680573334112,85.17766166719343,71.65680907511975,3.999999999978172,438.7803461571375,False,cmp,65.65680573336294,2.188560191112098,126.37023943713596,126.70004538919153,1.5936242600400345,0.1443175171027429,False,0.2770743681545191,0.005,126.70004538919153,142.22090132304385,128.70004873097017,61.04323965582859,hurdle_cmp,65.65680573336294,65.65680573336294,65.65680573336294,shared binary core
