pair,h_N,h_E,h_visits,h_dedup_ratio,h_depth,h_mean_indeg,h_max_outdeg,h_out_gini,h_n_constants,h_n_distinct_constants,h_constant_share,h_alpha_x2,h_alpha_x5,h_alpha_x10,h_has_sorry,h_truncated,a_N,a_E,a_visits,a_dedup_ratio,a_depth,a_mean_indeg,a_max_outdeg,a_out_gini,a_n_constants,a_n_distinct_constants,a_constant_share,a_alpha_x2,a_alpha_x5,a_alpha_x10,a_has_sorry,a_truncated,source
pair_4860e4db,8502,16359,16359,1.924135497529993,99,1.924135497529993,259,0.449500179811918,264,264,0.0310515172900494,2.044408561367125,2.2071125863260423,2.547408877951133,False,True,13373,26087,26087,1.9507216032303896,106,1.9507216032303896,360,0.4605938361472904,259,259,0.0193673820384356,1.9788568819586092,2.231239159009462,2.358375301150267,False,True,olympiads
pair_48881c66,11281,21796,21796,1.9320982182430635,105,1.9320982182430635,344,0.4459719884615902,321,321,0.0284549242088467,2.1437698672376775,2.3368927882826416,2.5421279188763606,False,True,12628,24561,24561,1.9449635730123536,118,1.9449635730123536,521,0.4545922535291463,292,292,0.0231232182451694,2.0611376199593088,2.256644609506364,2.6015642734928788,False,True,amc_aime
pair_49366beb,2084,3846,3846,1.845489443378119,62,1.845489443378119,148,0.4272584722966653,132,132,0.0633397312859884,2.1373983400549212,2.1923626017729116,2.547616118638369,False,True,1931,3515,3515,1.820300362506473,65,1.820300362506473,155,0.4195533973287523,145,145,0.0750906266183324,2.185604613345431,2.290744681032555,2.737279019510913,False,True,cn_contest
pair_496aea54,88,124,124,1.4090909090909092,16,1.4090909090909092,15,0.2782258064516129,19,19,0.2159090909090909,,,,False,True,88,124,124,1.4090909090909092,16,1.4090909090909092,15,0.2782258064516129,19,19,0.2159090909090909,,,,False,True,number_theory
pair_496f71fb,54,74,74,1.3703703703703705,14,1.3703703703703705,9,0.2662662662662662,13,13,0.2407407407407407,,,,False,True,54,74,74,1.3703703703703705,14,1.3703703703703705,9,0.2662662662662662,13,13,0.2407407407407407,,,,False,True,olympiads_ref
pair_496fbd44,9644,18736,18736,1.942762339278308,78,1.942762339278308,428,0.4546598775502686,237,237,0.0245748652011613,1.993797596189574,2.321974209919434,2.5309291988300204,False,True,13918,27304,27304,1.9617761172582264,107,1.9617761172582264,610,0.4604684286394375,239,239,0.0171720074723379,2.0051659651985565,2.2717649992198785,2.5806433796980848,False,True,secondary_math
pair_49737f41,1957,3496,3496,1.7864077669902914,50,1.7864077669902914,181,0.4015334263320428,186,186,0.0950434338272866,2.255099568268496,2.4226220388843807,2.993244922688559,False,True,3776,7110,7110,1.8829449152542372,65,1.8829449152542372,192,0.4334930510858423,197,197,0.0521716101694915,2.081289920123369,2.312160758772321,2.7923772024469224,False,True,math_test
pair_49f9b472,2731,4939,4939,1.8084950567557672,67,1.8084950567557672,171,0.4113558537556208,213,213,0.0779934090076894,2.119295399319448,2.47211459273809,3.083351836753069,False,True,3200,5840,5840,1.825,62,1.825,164,0.4104304366438356,235,235,0.0734375,2.246454672307451,2.513234481527944,3.0295148955576185,False,True,math_train
pair_4a23a011,2003,3598,3598,1.7963055416874687,57,1.7963055416874687,161,0.4093984093343031,186,186,0.0928607089365951,2.1284521016563827,2.3963433165987453,2.6708799390999016,False,True,1340,2390,2390,1.7835820895522387,51,1.7835820895522387,118,0.4073558983326047,128,128,0.0955223880597015,2.123175527213919,2.287403976322987,2.750781200175752,False,True,number_theory
pair_4c39d86a,10926,21266,21266,1.9463664653120996,85,1.9463664653120996,562,0.4608326779062534,279,279,0.0255354200988467,2.048388259264509,2.148367808691364,2.264102740425895,False,True,9532,18482,18482,1.93894250944188,84,1.93894250944188,505,0.4592012788707371,270,270,0.0283256399496433,2.0205953760618716,2.1287117631473587,2.412026634449493,False,True,cn_contest
pair_4c7ab903,1571,2755,2755,1.7536600891152132,44,1.7536600891152132,144,0.3970860226357725,179,179,0.1139401654996817,2.2788986394838218,2.3998129518076636,2.2892929779004403,False,True,2602,4803,4803,1.8458877786318215,58,1.8458877786318215,154,0.4260553750114224,187,187,0.0718677940046118,2.079060222089967,2.4272339043032742,2.701916308103271,False,True,cn_k12
pair_4cffc8e6,2587,4774,4774,1.845380749903363,65,1.845380749903363,148,0.4228496418478587,156,156,0.0603015075376884,2.1208764949371988,2.3036544429935533,2.581002815253658,False,True,13947,27317,27317,1.9586290958629096,77,1.9586290958629096,504,0.4621077614650134,268,268,0.0192156019215601,2.0388857017025113,2.14831584004748,2.327462915131637,False,True,amc_aime
pair_4d25cb85,12185,23757,23757,1.9496922445629872,73,1.9496922445629872,467,0.4573794002947605,271,271,0.0222404595814526,2.07163951231391,2.155010780702812,2.3349312834690696,False,True,18968,37303,37303,1.9666280050611555,85,1.9666280050611555,851,0.46561822968705,275,275,0.0144981020666385,2.050053435082767,2.111075974850096,2.2522069107438947,False,True,olympiads
pair_4d494975,389,643,643,1.6529562982005142,31,1.6529562982005142,57,0.3620001039471948,57,57,0.1465295629820051,2.4397017639222773,,,False,True,2113,3916,3916,1.8532891623284429,50,1.8532891623284429,126,0.4212791866295857,142,142,0.0672030288689067,2.092917734256628,2.5088209340764664,2.910107191657608,False,True,amc_aime
pair_4d68f3d1,4044,7671,7671,1.8968842729970328,58,1.8968842729970328,150,0.4331635995704144,179,179,0.0442631058358061,2.026969129169591,2.4819981705266976,3.1479980213678105,False,True,3017,5595,5595,1.8544912164401723,66,1.8544912164401723,100,0.4198932294003921,196,196,0.0649651972157772,2.2261201880895465,2.343068478347421,2.784908013045941,False,True,math_train
pair_4eec1381,11646,22536,22536,1.935085007727975,750,1.935085007727975,365,0.4577973389770444,228,228,0.0195775373518804,2.257646225995543,2.1988771259846924,1.9830872533449329,False,True,4516,8496,8496,1.8813108945969883,74,1.8813108945969883,196,0.4319022529645587,251,251,0.0555801594331266,2.1901055090382293,2.386415241996697,2.542031090374702,False,True,amc_aime
pair_4fd720f4,1846,3321,3321,1.7990249187432286,64,1.7990249187432286,194,0.405500079438016,174,174,0.0942578548212351,2.298357388245974,2.4054460922846035,2.779234865352505,False,True,6395,12334,12334,1.92869429241595,84,1.92869429241595,289,0.4527689752754738,214,214,0.033463643471462,2.0545660710534213,2.2240453927787938,2.515305379045154,False,True,olympiads_ref
pair_512e1ab2,8036,15414,15414,1.9181184668989544,61,1.9181184668989544,307,0.445059077281854,307,307,0.0382030861124937,2.116017189861454,2.356903309366034,2.392021462428654,False,True,15715,30763,30763,1.9575564747056953,70,1.9575564747056953,560,0.4592108963471402,320,320,0.0203627107858733,2.050946696914205,2.234841510830079,2.4437023965951052,False,True,olympiads
pair_517e0184,13073,25428,25428,1.9450776409393409,77,1.9450776409393409,510,0.457354925712647,336,336,0.0257018281955174,2.0167851706400652,2.2685058889702994,2.503572688329029,False,True,21554,42394,42394,1.966873898116359,78,1.966873898116359,935,0.4659945843388797,329,329,0.0152639881228542,1.9822769794686237,2.189216449806731,2.3988760655419763,False,True,olympiads
pair_535c413d,5994,11471,11471,1.913747080413747,79,1.913747080413747,208,0.4460574688540864,240,240,0.04004004004004,2.0454890051432866,2.2396379848391774,2.519132827154301,False,True,7036,13563,13563,1.9276577600909608,75,1.9276577600909608,221,0.4503398160824203,220,220,0.031267765776009,1.9990143720109776,2.3025529182458486,2.4877305784165404,False,True,math_test
pair_54aff7bc,2359,4326,4326,1.8338278931750744,59,1.8338278931750744,137,0.4169947890423491,179,179,0.075879610004239,2.091809110344901,2.6084088200573348,2.787234775472263,False,True,2864,5346,5346,1.8666201117318435,63,1.8666201117318435,142,0.4267756449243103,171,171,0.0597067039106145,2.031357687289497,2.5330888720553775,2.832041226427936,False,True,math_test
pair_564fee0e,2240,4043,4043,1.8049107142857144,53,1.8049107142857144,178,0.4089035060598565,204,204,0.0910714285714285,2.164258308415782,2.6447897564327327,2.7794708807064192,False,True,1461,2554,2554,1.7481177275838466,51,1.7481177275838466,136,0.3893161644146933,171,171,0.1170431211498973,2.263907948236632,2.6120659334375276,3.007268427009159,False,True,cn_k12
pair_567a7178,11338,22111,22111,1.9501675780560943,67,1.9501675780560943,467,0.4597839790018863,235,235,0.0207267595695889,1.9701322303680648,2.2147585824602265,2.412514778432236,False,True,17065,33533,33533,1.9650161148549663,82,1.9650161148549663,636,0.4652429958029283,213,213,0.012481687664811,1.9395927348781496,2.232425705206465,2.3276101569714447,False,True,olympiads
pair_5688be7b,3508,6583,6583,1.876567844925884,65,1.876567844925884,189,0.4313146955523288,183,183,0.0521664766248574,2.031191421526917,2.482919916583469,2.972042122711344,False,True,3967,7480,7480,1.8855558356440636,73,1.8855558356440636,200,0.4332536878445032,185,185,0.0466347365767582,2.0156871046297864,2.451433608309173,3.031095457967156,False,True,olympiads_ref
pair_57c4dba0,28310,55850,55850,1.9728011303426352,145,1.9728011303426352,672,0.4621726043070279,197,197,0.0069586718474037,2.0102777804707443,2.370619135977845,2.3530943317657194,False,True,25889,51152,51152,1.9758198462667544,142,1.9758198462667544,611,0.4622820359139418,194,194,0.0074935300706863,2.025717854724298,2.3378443450880253,2.424191096625589,False,True,aops_forum
pair_587b1256,2969,5398,5398,1.818120579319636,65,1.818120579319636,218,0.4168024508160214,247,247,0.0831929942741663,2.130364934591702,2.4504136778822874,2.572860814409432,False,True,3947,7369,7369,1.8669875855079807,71,1.8669875855079807,210,0.429652249064936,238,238,0.060298961236382,2.0970348598983435,2.453867805744809,2.5877785496621564,False,True,olympiads
pair_58e22ef3,3029,5688,5688,1.877847474413998,61,1.877847474413998,143,0.4323076644476112,147,147,0.0485308682733575,2.004938380330336,2.381226558397561,3.0126663624318,False,True,4689,9006,9006,1.9206653870761357,72,1.9206653870761357,236,0.4465377859749622,147,147,0.0313499680102367,1.968551417133639,2.2483116884107224,2.935267833878445,False,True,math_train
pair_59111b24,6432,12323,12323,1.915889303482587,69,1.915889303482587,288,0.4483979089176369,230,230,0.0357587064676616,2.0553307991964305,2.192458650349483,2.681742818585959,False,True,12953,25441,25441,1.964100980467845,81,1.964100980467845,600,0.4637589751493756,189,189,0.0145912143904886,1.9913189528239452,2.1611466790026586,2.486140701493235,False,True,math_test
pair_5a6fca10,3208,5952,5952,1.855361596009975,62,1.855361596009975,197,0.4227364217145308,209,209,0.065149625935162,2.072287140197881,2.574060230946402,2.8694186053641197,False,True,5789,11041,11041,1.9072378649162205,63,1.9072378649162205,243,0.4400876526911761,244,244,0.0421489030920711,2.0051896071912125,2.5136018716416357,2.5904910660444855,False,True,math_train
pair_5cf7a965,3862,7138,7138,1.8482651475919212,55,1.8482651475919212,245,0.4251061306877698,266,266,0.0688762299326773,2.1244907203210124,2.4808757509894743,2.5694271895514627,False,True,3020,5594,5594,1.852317880794702,58,1.852317880794702,177,0.4246580418471067,200,200,0.0662251655629139,2.036066736172894,2.543919864997793,2.9068131619064275,False,True,math_test
pair_5d026d45,804,1326,1326,1.6492537313432836,42,1.6492537313432836,111,0.3627657339246452,136,136,0.1691542288557214,2.3975713971990595,2.6620721666923486,,False,True,255,384,384,1.5058823529411764,32,1.5058823529411764,41,0.3167892156862745,59,59,0.2313725490196078,2.407088974469155,,,False,True,amc_aime
pair_5daf2594,3366,6200,6200,1.84194890077243,60,1.84194890077243,208,0.4202309623751749,227,227,0.0674390968508615,2.1246194146933277,2.4711709109268596,2.6812488894470836,False,True,3324,6140,6140,1.8471720818291215,60,1.8471720818291215,193,0.4217548222972205,219,219,0.065884476534296,2.051438349143261,2.5421673049384617,3.078086893525182,False,True,olympiads_ref
pair_5df84962,1208,2120,2120,1.7549668874172186,43,1.7549668874172186,87,0.3962506247657129,117,117,0.0968543046357615,2.20709237891287,2.454341643683527,2.636207929715028,False,True,1798,3216,3216,1.7886540600667409,45,1.7886540600667409,140,0.4026236310106862,161,161,0.089543937708565,2.2703739008646497,2.4915790189462315,2.7956906559241173,False,True,amc_aime
pair_5ee839bd,2925,5388,5388,1.842051282051282,58,1.842051282051282,199,0.420052411500073,215,215,0.0735042735042735,2.158827871158068,2.4321302599766472,2.6803831227499506,False,True,3861,7240,7240,1.8751618751618753,61,1.8751618751618753,206,0.4322753673582403,223,223,0.0577570577570577,2.072735068754003,2.3967587720967503,2.578727437127829,False,True,cn_contest
pair_5eec702b,2671,4951,4951,1.8536128790715087,61,1.8536128790715087,143,0.4260398101318038,169,169,0.0632721827031074,2.05364804033577,2.447410646931455,2.980489084461519,False,True,2069,3765,3765,1.819719671338811,56,1.819719671338811,140,0.4167907073173393,164,164,0.0792653455775737,2.0503016770916,2.590593427903939,2.803455603500436,False,True,math_test
pair_5eff76b6,1280,2264,2264,1.76875,50,1.76875,121,0.3958308027826855,140,140,0.109375,2.219245016670556,2.6624512152888076,2.9080177575053465,False,True,1710,3112,3112,1.8198830409356723,46,1.8198830409356723,125,0.4128921811813166,141,141,0.0824561403508772,2.0999371215149143,2.5669375716538196,2.828985508102929,False,True,amc_aime
pair_5feca8f4,5751,11093,11093,1.9288819335767693,86,1.9288819335767693,250,0.4505497325272432,185,185,0.032168318553295,2.017269193502812,2.3498707687657214,2.5396033749056284,False,True,4542,8680,8680,1.9110523998238664,87,1.9110523998238664,200,0.4422677640536762,184,184,0.0405107881990312,2.0576939360907582,2.402437726750279,2.6078661565962244,False,True,olympiads
pair_60565fc7,70,94,94,1.3428571428571427,16,1.3428571428571427,13,0.2595744680851063,20,20,0.2857142857142857,,,,False,True,70,94,94,1.3428571428571427,16,1.3428571428571427,13,0.2595744680851063,20,20,0.2857142857142857,,,,False,True,number_theory
pair_606263d6,5337,10150,10150,1.901817500468428,63,1.901817500468428,232,0.4415913443743879,232,232,0.0434701142964212,2.0426370169352905,2.274589637887983,2.5411338513960136,False,True,5602,10708,10708,1.91146019278829,72,1.91146019278829,258,0.4450118673930024,227,227,0.0405212424134237,2.0084594309856785,2.337511911491937,2.506822036067783,False,True,math_train
pair_61c6d911,6817,13016,13016,1.9093442863429664,69,1.9093442863429664,207,0.4417611652563519,274,274,0.0401936335631509,2.1224201444511444,2.267866782022274,2.5515172719955994,False,True,2730,4972,4972,1.8212454212454212,145,1.8212454212454212,117,0.4124739567217443,199,199,0.0728937728937729,2.3357157657263974,2.1845360058913275,2.2028484315207244,False,True,math_train
pair_62b6e279,207,310,310,1.497584541062802,21,1.497584541062802,26,0.3088047374162381,42,42,0.2028985507246377,2.282315930505197,,,False,True,17460,33097,33097,1.895589919816724,58,1.895589919816724,756,0.4655501266868697,528,528,0.0302405498281786,1.968813220923128,1.958695075112047,3.9408755327362504,False,True,math_test
pair_6357c298,2600,4713,4713,1.8126923076923076,57,1.8126923076923076,212,0.412886859586414,222,222,0.0853846153846153,2.1764688903188496,2.5376930076975213,2.470832865127676,False,True,1898,3460,3460,1.8229715489989464,53,1.8229715489989464,126,0.4129744117629144,147,147,0.077449947312961,2.127631674564208,2.6443666071996663,2.811395280971074,False,True,amc_aime
pair_6369b437,1283,2360,2360,1.8394388152766952,47,1.8394388152766952,73,0.4168963102897076,78,78,0.0607950116913484,2.1348688939846836,2.290828628892488,2.89675234533553,False,True,1328,2460,2460,1.8524096385542168,50,1.8524096385542168,68,0.420401116661769,77,77,0.0579819277108433,2.116488926821426,2.2610480735588263,2.999041955653196,False,True,math_test
pair_659419e1,17059,33592,33592,1.9691658362154871,93,1.9691658362154871,794,0.4631520774020752,243,243,0.0142446802274459,2.0755230044440065,2.24501084212955,2.417358903931639,False,True,24366,48194,48194,1.977920052532217,100,1.977920052532217,1411,0.4701283562643855,235,235,0.0096445867191988,2.027820286806498,2.215143226074191,2.2646387214069783,False,True,olympiads
pair_665c7b43,3771,7153,7153,1.8968443383717848,63,1.8968443383717848,167,0.4388104929186712,174,174,0.0461416070007955,2.0860928246789676,2.338867765700215,2.569015224091836,False,True,3666,6959,6959,1.898254228041462,64,1.898254228041462,161,0.4400507077264254,164,164,0.0447354064375341,2.054852972201227,2.288542166247704,2.6732177991280732,False,True,secondary_math
pair_66b87803,15962,31000,31000,1.9421125172284175,96,1.9421125172284175,689,0.459832440756474,428,428,0.0268136824959278,2.0220418595221923,2.2006332525045216,2.3161126891491355,False,True,44041,87151,87151,1.9788606071615087,136,1.9788606071615087,1455,0.4692737800829677,306,306,0.0069480711155514,2.007064038465286,2.266632914235973,2.3456297670140875,False,True,cn_k12
pair_677749e1,2233,4086,4086,1.8298253470667265,56,1.8298253470667265,146,0.4146045862588472,168,168,0.0752351097178683,2.090846159622382,2.5789686894198396,3.179197330448296,False,True,2209,4038,4038,1.8279764599366228,56,1.8279764599366228,146,0.41422085479928,168,168,0.0760525124490719,2.086894260054428,2.5872527659175804,3.1854143113342097,False,True,math_train
pair_6801c12d,4584,8628,8628,1.882198952879581,66,1.882198952879581,188,0.4337627259274362,234,234,0.0510471204188481,2.1616327506749022,2.425968631615563,2.386127699470692,False,True,7992,15459,15459,1.934309309309309,90,1.934309309309309,239,0.4499294478513703,224,224,0.028028028028028,2.1270784509304876,2.2148722601275233,2.6056342231876046,False,True,olympiads_ref
pair_68e74a3f,2300,4127,4127,1.7943478260869563,58,1.7943478260869563,162,0.4018882017677858,216,216,0.0939130434782608,2.2215751936404375,2.4849480553960515,2.661730584392788,False,True,2608,4756,4756,1.8236196319018405,63,1.8236196319018405,167,0.4154314924125548,215,215,0.0824386503067484,2.1232150672841055,2.366964979120955,2.7303326476759975,False,True,cn_k12
pair_6920c5e4,6432,12327,12327,1.9165111940298507,70,1.9165111940298507,243,0.4441982132212306,250,250,0.03886815920398,2.062349757653595,2.4130563945615457,2.423103790540159,False,True,14851,29184,29184,1.965120193926335,86,1.965120193926335,793,0.462661842467044,243,243,0.0163625345094606,2.061399355027233,2.261744574815705,2.2305037144774316,False,True,secondary_math
pair_69286778,1440,2564,2564,1.7805555555555554,55,1.7805555555555554,143,0.4045442234356041,141,141,0.0979166666666666,2.2216322852284183,2.2222171414166683,2.6354942483865225,False,True,2621,4897,4897,1.8683708508202976,56,1.8683708508202976,164,0.4313950945369304,163,163,0.0621900038153376,2.070348571623633,2.432836435708105,2.7221270641878292,False,True,olympiads
pair_6ba505c0,13586,26452,26452,1.9470042691005447,95,1.9470042691005447,683,0.4607596896218742,339,339,0.0249521566318268,2.04407016437088,2.1889353206120727,2.277966768712391,False,True,12386,24212,24212,1.9547876634910384,85,1.9547876634910384,663,0.4630472699721276,263,263,0.021233650896173,1.9904163982517735,2.1576971204455946,2.3492960645662286,False,True,cn_k12
pair_6bcfd203,1098,1846,1846,1.6812386156648451,50,1.6812386156648451,104,0.3716281153362659,154,154,0.1402550091074681,2.296143840953227,2.5168465499520067,,False,True,827,1488,1488,1.7992744860943168,55,1.7992744860943168,28,0.410326546267764,56,56,0.0677146311970979,1.912921340853513,2.2865421577425167,3.5502791012155455,False,True,math_train
pair_6d3a0d6c,91,131,131,1.4395604395604396,18,1.4395604395604396,13,0.2862175991946984,22,22,0.2417582417582417,,,,False,True,115,166,166,1.443478260869565,21,1.443478260869565,16,0.2827658459926663,26,26,0.2260869565217391,2.749374796132164,,,False,True,math_test
pair_6d779213,3016,5481,5481,1.8173076923076923,65,1.8173076923076923,141,0.404852947510498,233,233,0.0772546419098143,2.231279215767954,2.4699719957056825,2.89618532450023,False,True,8921,17052,17052,1.9114449052796771,74,1.9114449052796771,268,0.4420530876192863,359,359,0.0402421253222732,2.079671061530882,2.3488467654285534,2.6445425294415115,False,True,olympiads
pair_6e98ad25,925,1594,1594,1.7232432432432432,50,1.7232432432432432,97,0.3816867306453254,105,105,0.1135135135135135,2.2600410375286177,2.968935367728637,,False,True,384,632,632,1.6458333333333333,33,1.6458333333333333,47,0.3481424709915612,46,46,0.1197916666666666,2.442634501293693,3.707535325898278,,False,True,aops_forum
pair_7007ed35,2256,4112,4112,1.822695035460993,52,1.822695035460993,161,0.4142912458260893,177,177,0.0784574468085106,2.154966696875485,2.4667824710821717,2.5554685873435115,False,True,2276,4151,4151,1.8238137082601056,52,1.8238137082601056,160,0.4144391700138743,176,176,0.0773286467486819,2.1506200703666396,2.4598471332287497,2.580090135621812,False,True,math_train
pair_7187bdc5,5970,11340,11340,1.899497487437186,70,1.899497487437186,231,0.4393661428837308,258,258,0.04321608040201,2.0330046070208745,2.3413409758171237,2.9034741542985536,False,True,8204,15627,15627,1.9048025353486104,82,1.9048025353486104,163,0.4514560741783316,304,304,0.0370550950755728,2.1233444562706443,2.0265805424031496,2.1468071491469596,False,True,amc_aime
pair_71cf0c00,5068,9562,9562,1.8867403314917128,62,1.8867403314917128,219,0.4391636223825333,239,239,0.0471586424625098,2.0477186081792604,2.256521195109089,2.562435859098744,False,True,40978,81188,81188,1.9812582361267024,168,1.9812582361267024,1625,0.4698866886282845,171,171,0.0041729708624139,2.0210134924291916,2.013989280184534,2.062671111719361,False,True,olympiads
pair_73bd6122,137,190,190,1.3868613138686132,18,1.3868613138686132,26,0.2678447944679216,36,36,0.2627737226277372,2.8584893458329343,,,False,True,645,1044,1044,1.6186046511627907,40,1.6186046511627907,98,0.3538210223053847,113,113,0.1751937984496124,2.4271935275307968,2.5866138757456287,,False,True,cn_k12
pair_7415487b,530,870,870,1.6415094339622642,32,1.6415094339622642,72,0.3620602906094122,86,86,0.1622641509433962,2.3776396309451897,,,False,True,2129,3911,3911,1.8370126820103336,53,1.8370126820103336,136,0.4209004987558426,161,161,0.0756223579145138,2.175524477195572,2.450557667732876,2.366549784331911,False,True,cn_k12
pair_7580a01f,19412,38069,38069,1.961106532042036,109,1.961106532042036,955,0.4620591387474727,336,336,0.0173088811044714,2.0432520053879095,2.2416848559760068,2.3709113644102686,False,True,18614,36595,36595,1.9659933383474804,95,1.9659933383474804,746,0.4654395326411328,219,219,0.0117653379176963,1.9590952899770009,2.2283495508362794,2.355153268815908,False,True,olympiads
pair_759606e4,21597,42362,42362,1.9614761309441129,87,1.9614761309441129,1991,0.4860309267022494,383,383,0.0177339445293327,2.0108179035284452,1.9206937601162015,1.825716986261495,False,True,21597,42362,42362,1.9614761309441129,87,1.9614761309441129,1991,0.4860309267022494,383,383,0.0177339445293327,2.0108179035284452,1.9206937601162015,1.825716986261495,False,True,math_train
pair_76494dbd,2253,4164,4164,1.848202396804261,59,1.848202396804261,150,0.4278534800221542,154,154,0.0683533067021748,2.1212571823738804,2.3847687910082707,2.4420792314245983,False,True,2253,4164,4164,1.848202396804261,59,1.848202396804261,150,0.4278534800221542,154,154,0.0683533067021748,2.1212571823738804,2.3847687910082707,2.4420792314245983,False,True,olympiads
pair_77658e38,4332,8258,8258,1.9062788550323175,67,1.9062788550323175,162,0.4442287363639881,187,187,0.0431671283471837,1.997608698158737,2.283091644489193,2.577513944303127,False,True,3653,6896,6896,1.887763482069532,61,1.887763482069532,160,0.4378243607421799,191,191,0.0522857924993156,2.0497729617553517,2.325753138095939,2.479742189598217,False,True,cn_k12
pair_78234522,5762,11105,11105,1.9272821936827491,62,1.9272821936827491,271,0.4484291889869522,187,187,0.0324540090246442,2.0945332518433544,2.298218994874371,2.4413987329232594,False,True,11232,21853,21853,1.945601851851852,88,1.945601851851852,458,0.4562169231851312,285,285,0.0253739316239316,2.0560362593302246,2.220310764490239,2.4838075512496904,False,True,olympiads_ref
pair_788625c0,4278,8038,8038,1.878915381019168,86,1.878915381019168,186,0.4353234594767887,208,208,0.0486208508648901,2.1476505150555347,2.17642180692509,2.713734696032298,False,True,2948,5423,5423,1.8395522388059704,77,1.8395522388059704,108,0.4268104893199501,181,181,0.0613975576662143,2.044781885227457,2.1370955075413707,2.553068364586892,False,True,olympiads
pair_7a30a024,1359,2518,2518,1.852832965415747,43,1.852832965415747,78,0.4273133366179987,83,83,0.061074319352465,2.0612429078721743,2.2310247666109566,2.89962103659023,False,True,1631,3014,3014,1.847946045370938,52,1.847946045370938,96,0.4252665976922736,102,102,0.0625383200490496,2.118142408914218,2.249463347811219,2.913781714830109,False,True,olympiads
pair_7a9abe33,1560,2694,2694,1.726923076923077,67,1.726923076923077,177,0.3887670607046999,190,190,0.1217948717948717,2.295739949707704,2.5466752923904075,2.470165203917393,False,True,2534,4570,4570,1.803472770323599,55,1.803472770323599,207,0.4108659646747343,221,221,0.0872138910812943,2.1520967766272188,2.471499423627731,2.7518120152636873,False,True,amc_aime
pair_7b0b98d6,3991,7565,7565,1.8955149085442244,63,1.8955149085442244,174,0.4379522796086303,189,189,0.0473565522425457,2.088768241116376,2.3441883454251116,2.7849256378691045,False,True,6235,12014,12014,1.9268644747393744,68,1.9268644747393744,314,0.4500661284101988,209,209,0.0335204490777866,2.052091533261145,2.2124275455992817,2.5360298234579908,False,True,cn_k12
pair_7b176d5c,3517,6424,6424,1.826556724481092,58,1.826556724481092,268,0.4172960298510951,281,281,0.0798976400341199,2.2082563090391067,2.350749597600898,2.404232339736735,False,True,7189,13783,13783,1.917234664070107,85,1.917234664070107,369,0.45159015270242,281,281,0.0390874947836973,2.0202212548879817,2.267622725813707,2.3953464417472663,False,True,math_test
pair_7cb6be3d,2364,4350,4350,1.8401015228426396,51,1.8401015228426396,169,0.4222867923060466,176,176,0.0744500846023688,2.108449922160111,2.4316412250551824,2.4112837316732127,False,True,5345,10325,10325,1.931711880261927,66,1.931711880261927,295,0.4510566912119448,167,167,0.0312441534144059,2.058357997035895,2.253936123064694,2.7677973438898444,False,True,olympiads
pair_7f6de6ca,1797,3187,3187,1.773511407902059,57,1.773511407902059,149,0.3975757804338332,189,189,0.1051752921535893,2.236760206088475,2.6916261673825392,2.5589939714778884,False,True,812,1334,1334,1.6428571428571428,50,1.6428571428571428,108,0.3622646804676479,136,136,0.167487684729064,2.379538578475144,2.583984502484897,,False,True,number_theory
pair_7fda4fb2,3918,7303,7303,1.8639612046962737,61,1.8639612046962737,223,0.430913872689463,253,253,0.0645737621235324,2.121491151844022,2.3199969060317063,2.53888579243924,False,True,825,1371,1371,1.661818181818182,47,1.661818181818182,115,0.372988528612161,131,131,0.1587878787878787,2.232812974016434,2.5859531736777996,,False,True,olympiads
pair_807fa532,10814,21049,21049,1.9464582948030331,87,1.9464582948030331,384,0.4598121613651741,251,251,0.023210652857407,1.9714107541527353,2.203991456549133,2.5325908712529497,False,True,5525,10592,10592,1.91710407239819,70,1.91710407239819,230,0.4487258889147106,214,214,0.0387330316742081,1.954405936585188,2.3455400684489573,2.4845820595236874,False,True,olympiads
pair_80de1ec1,4507,8566,8566,1.9005990681162637,65,1.9005990681162637,192,0.4431439593718874,208,208,0.0461504326603061,2.034726004622631,2.2556917154053804,2.641317553681687,False,True,3404,6368,6368,1.870740305522914,61,1.870740305522914,180,0.4333180849901682,203,203,0.0596357226792009,2.0554109832732204,2.2921631774694453,2.7469357585199967,False,True,cn_k12
pair_80fc276c,5723,10961,10961,1.9152542372881356,78,1.9152542372881356,224,0.4498077253646086,224,224,0.0391403110256858,2.029145930621356,2.268809373898806,2.486653702708897,False,True,8735,16980,16980,1.9439038351459643,71,1.9439038351459643,284,0.4586980204328065,199,199,0.0227819118488838,1.9154374185865153,2.292246336596313,2.4378109639717467,False,True,olympiads
pair_81db3cca,1760,3082,3082,1.7511363636363635,45,1.7511363636363635,174,0.398440726210843,207,207,0.1176136363636363,2.303063481336234,2.1612017303568196,2.4842351236003086,False,True,4694,8938,8938,1.904132935662548,63,1.904132935662548,243,0.4443134415630166,207,207,0.0440988495952279,2.034742459523631,2.3031056313539526,2.6107330199908363,False,True,cn_k12
pair_81dfa8e6,6047,11439,11439,1.8916818256986936,77,1.8916818256986936,261,0.4366299404844179,296,296,0.0489498925086819,2.144444564081558,2.2589689868599248,2.422562425335218,False,True,9243,17793,17793,1.9250243427458615,87,1.9250243427458615,288,0.4455364378574117,315,315,0.0340798442064264,2.136335259038788,2.3289612293141966,2.4318147967721213,False,True,aops_forum
