corpus,n_files,n_decls,n_proofs,n_citation_edges,frac_never_cited,mean_reuse,alpha_x5,alpha_x10,alpha_x20,median_n_lines,median_n_tactics,median_n_have,median_n_distinct_premises,median_vocab_ratio,median_automation_share,median_dup_line_share,median_depth_indent
FLT-regular,28,253,183,444,0.13043478260869565,1.7549407114624507,2.698,,,12.0,4.0,0.0,10.0,0.6909,0.1273,0.0,4.0
LeanAPAP,53,635,433,1125,0.4094488188976378,1.7716535433070866,2.274,2.478,,3.0,1.0,0.0,3.0,0.875,0.25,0.0,4.0
ConNF,170,3368,1612,17319,0.27048693586698336,5.142220902612826,1.974,2.014,2.095,8.0,3.0,0.0,7.0,0.6923,0.0,0.0,4.0
SciLean,567,2722,783,7761,0.6719324026451139,2.8512123438648054,1.927,2.038,2.246,6.0,1.0,0.0,5.0,0.6667,0.0,0.0,4.0
ahyxie-minif2f-goedel,2000,34,2816,0,1.0,0.0,,,,18.0,6.0,3.0,5.0,0.5,0.3333,0.1081,6.0
lean-matrix-cookbook,18,47,15,24,0.6382978723404256,0.5106382978723404,,,,6.0,1.0,0.0,4.0,0.4286,0.1579,0.0,4.0
math2001,86,126,53,79,0.6666666666666666,0.626984126984127,,,,8.0,3.0,0.0,2.0,0.75,0.1111,0.0,4.0
mathematics_in_lean,89,192,100,322,0.4583333333333333,1.6770833333333333,2.596,,,6.0,3.0,0.0,3.0,0.7238,0.1834,0.0,4.0
carleson,119,2480,1781,12611,0.2407258064516129,5.08508064516129,1.959,1.907,2.037,10.0,4.0,0.0,7.0,0.7,0.2,0.0,4.0
sphere-eversion,65,1040,483,3336,0.39326923076923076,3.207692307692308,1.976,2.13,2.242,8.0,3.0,0.0,9.0,0.6875,0.1,0.0,4.0
theorem_proving_in_lean4,17,131,5,436,0.35877862595419846,3.3282442748091605,2.041,,,28.0,2.0,1.0,16.0,0.5789,0.1333,0.0,8.0
unit-fractions,10,592,21,1128,0.17229729729729729,1.9054054054054055,2.359,2.348,,10.0,2.0,1.0,2.0,0.4,0.0,0.0,2.0
PhysLean,684,10111,6896,65585,0.3492236178419543,6.486499851646721,1.912,1.916,2.025,8.0,2.0,0.0,8.0,0.7333,0.2614,0.0,4.0
alphaproof,18,17,18,18,0.29411764705882354,1.0588235294117647,,,,119.0,33.0,1.0,85.0,0.3833,0.4242,0.0108,13.0
mathlib3,3468,94893,2738,1073373,0.47173131843233956,11.311403370111599,1.813,1.81,1.818,2.0,0.0,0.0,2.0,0.6667,0.0,0.0,1.0
human,5429,116464,15513,1418951,0.44773492237944773,12.18360179969776,1.817,1.808,1.829,7.0,2.0,0.0,6.0,0.7143,0.0769,0.0,4.0
harmonic-aristotle-imo2025,18,123,174,369,0.21138211382113822,3.0,1.953,2.566,,34.5,27.0,6.0,25.0,0.4688,0.2439,0.0253,10.0
banach1729-goedel-workbook,14617,9998,14597,0,1.0,0.0,,,,15.0,4.0,0.0,10.0,0.8,0.5,0.0,4.0
deepseek-prover-v2,438,438,436,0,1.0,0.0,,,,45.0,21.0,10.0,9.0,0.5271,0.5625,0.1415,6.0
alphaproof-nexus,211,2746,6471,9203,0.17370721048798252,3.3514202476329205,2.1,2.248,1.899,8.0,3.0,0.0,7.0,0.5455,0.0571,0.0,4.0
mathinc-strongpnt,8,1110,886,2007,0.18468468468468469,1.808108108108108,1.971,2.116,2.626,10.0,3.0,1.0,5.0,0.5341,0.0447,0.0,4.0
kimina-prover,422,259,444,40,0.8725868725868726,0.15444015444015444,,,,31.0,5.0,3.0,8.0,0.6667,0.3225,0.0,11.0
mathinc-sphere-packing,830,5676,5042,32596,0.19873150105708245,5.74277660324172,1.968,1.936,1.971,9.0,2.0,1.0,6.0,0.6364,0.1667,0.0,6.0
human-compfiles,667,3630,5408,20626,0.28264462809917357,5.682093663911846,1.964,1.892,1.728,10.0,4.0,1.0,7.0,0.75,0.1111,0.0,4.0
hf,39060,19228,35366,60200,0.9936550863324318,3.130850842521323,1.242,1.276,1.308,15.0,5.0,1.0,7.0,0.6667,0.4286,0.0,4.0
seed-prover,754,5656,9885,14394,0.3755304101838755,2.544908062234795,1.938,2.004,2.112,7.0,2.0,0.0,4.0,0.6,0.2,0.0,4.0
