pair,source,side,tokens_scored,mean_nll,median_nll,p95_nll,claim_boundaries,mean_boundary_delta_nll,mean_boundary_excess_nll,mean_content_boundary_delta_nll,mean_content_boundary_excess_nll
pair_2000cc20,cn_k12,a,275,2.0397298475489682,1.891279506764312,4.455205883793146,2,-0.33016641042530304,-0.33124291178984794,-0.22940800825735919,-0.2304845096219041
pair_2000cc20,cn_k12,h,211,2.4768927506461647,2.2558932924886483,5.874459087084986,0,,,,
pair_204207d6,olympiads_ref,a,171,2.360861643683666,2.442229188923677,5.8497129910132415,0,,,,
pair_204207d6,olympiads_ref,h,258,2.5516037056892737,2.511664828149808,5.638579915682249,3,-0.6094423837743125,-0.6675419326999122,-0.7942229901091636,-0.8523225390347635
pair_20f6251a,olympiads,a,629,4.825664830018644,2.9485275999046103,18.896620682015957,8,-3.1153361059125264,-3.5319638238495066,-2.951568762022784,-3.3681964799597637
pair_20f6251a,olympiads,h,291,4.4967503056124345,2.902128564110668,16.478941424880553,2,-1.0573438473691466,-0.9843200655308961,2.616715715580793,2.6897394974190436
pair_22599b6f,olympiads_ref,a,320,3.626075765296007,2.4896487372135194,16.299319565211565,0,,,,
pair_22599b6f,olympiads_ref,h,304,3.2029948740038305,2.4511141301714026,6.96248654656298,0,,,,
pair_2347fae1,olympiads,a,622,2.6051102946544593,2.3429732549255875,6.022833627905226,10,-0.14729430414234734,-0.15426373162318208,0.000692361527863361,-0.006277065952971344
pair_2347fae1,olympiads,h,714,3.5058519318165153,2.452388306973916,9.978098537375224,5,-0.643857645729836,-0.687643649932256,0.21860100152340847,0.17481499732098857
pair_2590c3a7,olympiads,a,341,2.9798688043417645,2.5961602317940224,7.754951223409371,3,0.08537580235916183,0.13842516316728762,0.9616573668094123,1.0147067276175379
pair_2590c3a7,olympiads,h,337,3.288961615551248,2.6822511183522657,8.41306948764852,3,1.123168308184401,1.2632964343688424,2.124115576437864,2.2642437026223052
pair_26771bf6,olympiads_ref,a,230,3.4746463205925693,2.3671553413539788,11.586753442502793,4,1.1532921050057374,1.2247044745113933,1.4011142000359584,1.4725265695416143
pair_26771bf6,olympiads_ref,h,220,4.341191090715604,2.7700988646294884,15.242427989912368,2,-1.7909994904537165,-1.924115565663683,-2.3694597546307468,-2.5025758298407133
pair_271fa579,olympiads,a,398,2.304522912893714,2.013526047793567,5.741640223783641,3,-0.24558841974225962,-0.3144342884117573,-0.6780986488233167,-0.7469445174928144
pair_271fa579,olympiads,h,660,2.372404278450337,2.3960723990775707,5.074183873508271,18,0.03713013245062621,0.07177257010953492,0.053093213626233045,0.08773565128514171
pair_2748f3f1,olympiads,a,335,1.9935345693769084,2.0207676147020672,4.216088690797132,7,0.3326729971173644,0.44742724059547617,0.47005340802160245,0.5848076514997143
pair_2748f3f1,olympiads,h,338,2.0906254468008236,2.1053349348076544,5.001689724787075,7,0.10842159033371328,0.10926042939441187,0.36819027550428657,0.36902911456498516
pair_29059eae,math_train,a,343,2.4512588554126706,2.065025610100361,6.005997056094091,8,-1.048371191931635,-1.0189624697247133,-0.43389950987631754,-0.4044907876693956
pair_29059eae,math_train,h,517,3.7823865720076886,2.5619598799967416,13.819657640121724,8,1.2544208653942122,1.4072101313800505,0.5206042856387132,0.6733935516245516
pair_2a4dc8cc,math_test,a,338,2.486545691982903,2.478932880430215,4.8496954307387865,8,-0.2985920293346104,-0.38526529464407255,-0.2917866294687277,-0.37845989477818986
pair_2a4dc8cc,math_test,h,266,3.33544088081729,2.6694082086448194,10.93615334865543,4,2.597450316817521,2.8508623401867577,3.7779492720929118,4.0313612954621485
pair_2a66f969,olympiads,a,567,2.560434712372896,2.419490669447392,5.555764617242883,9,-0.03747698012294423,0.07022595320186983,0.3163491677581516,0.42405210108296565
pair_2a66f969,olympiads,h,399,2.456340106488752,2.218399246180256,5.648162905513806,6,1.0930915355592958,1.123039725474236,-0.37693059853709104,-0.34698240862215085
pair_2b09aabd,olympiads,a,207,2.767128236614202,2.186805154231551,6.133579507563442,4,-0.4483609873684748,-0.45087717947637984,-0.012735844838684673,-0.015252036946589664
pair_2b09aabd,olympiads,h,170,3.083146138000576,2.41109928455217,7.180590878164598,2,-1.1147959746582414,-1.2881938498545284,-0.3129191143380037,-0.48631698953429087
pair_2d283418,olympiads,a,104,3.297359416673651,2.447092599821299,9.55722895599754,0,,,,
pair_2d283418,olympiads,h,109,3.5552856067608,2.740572242206371,10.61629824161919,0,,,,
pair_2fba10ea,olympiads_ref,a,709,3.083999901731747,2.48628437488604,7.974039281389918,10,-0.19477693810314753,-0.16887658735885494,0.12187935277280157,0.14777970351709416
pair_2fba10ea,olympiads_ref,h,1496,4.179287265718244,3.091159570878691,13.264313056326033,29,0.6337775545093232,0.6991102152389823,0.9592243018911086,1.0245569626207678
pair_2fde2018,math_test,a,731,2.662053537325545,2.2368713144109464,7.081564131043905,19,-0.44264704912229375,-0.3928936901584709,-0.2979358903734052,-0.24818253140958235
pair_2fde2018,math_test,h,830,4.448524830069552,3.1002770724158735,14.857602698749607,7,0.5036107401918288,0.4803138047517215,0.691332419773069,0.6680354843329618
pair_301c1ff9,aops_forum,a,223,2.3344285631890584,2.3919405307618833,5.2477740595467095,0,,,,
pair_301c1ff9,aops_forum,h,185,2.369067411256267,2.428402515544437,4.715149037232004,0,,,,
pair_326a8dc3,cn_contest,a,683,2.574574332310353,2.329075378674006,7.073087789154071,9,-0.8352384616766917,-0.9362735984983779,-0.9883249229101353,-1.0893600597318214
pair_326a8dc3,cn_contest,h,1305,2.597746699528245,2.329075378674006,7.073087789154071,25,-0.36752135494804833,-0.40775651041339134,0.04334223589317645,0.0031070804278333776
pair_32d5762e,aops_forum,a,382,3.025683737761193,2.6096958472361083,8.819835022030142,2,0.5294129454096004,0.5532008501244907,0.7891709878013424,0.8129588925162328
pair_32d5762e,aops_forum,h,265,3.1553579398581775,2.553002554060479,10.37167360198887,7,0.022547011199241913,-0.10870694071424196,-0.453123571359455,-0.5843775232729389
pair_32e87abf,cn_k12,a,622,2.4067867382204473,2.0783957779277107,5.553644788341079,13,0.06302454029968269,0.07341339576467758,-0.03599238245308753,-0.025603526988092644
pair_32e87abf,cn_k12,h,286,3.2655754277139284,2.5170428579215534,8.323829195566832,1,-3.2132188575864604,-3.377220497678155,-3.6399058314270727,-3.8039074715187673
