pair,side,source,status,source_claims,root_nodes,root_node_digits,term_lets,matched,match_share,unambiguous_matched,term_uses,zero_term_use,one_term_use,multi_term_use,polarized_term_use,reuse_excess,potential_inlining_nodes
pair_0493582a,a,olympiads,ok,35,1744064,7,35,35,1.0,0,27,20,9,6,26,12,1330742
pair_0493582a,h,olympiads,ok,36,2055733,7,42,36,1.0,4,31,22,7,7,29,17,2053007
pair_04a27118,a,aops_forum,ok,0,3075,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_04a27118,h,aops_forum,ok,0,6365,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_04aeef30,a,cn_contest,ok,10,16402525,8,10,10,1.0,10,2009,4,0,6,10,2003,78117
pair_04aeef30,h,cn_contest,ok,4,3789681,7,26,4,1.0,2,5,0,3,1,1,1,457431
pair_04c5bf83,a,olympiads,ok,6,2144499,7,6,6,1.0,6,1536,0,0,6,6,1530,107699702
pair_04c5bf83,h,olympiads,ok,7,1481950,7,13,7,1.0,7,35,0,0,7,7,28,3890822
pair_04d75ac0,a,olympiads,ok,7,13888261,8,8,7,1.0,7,14070,1,0,6,7,14064,1652081927
pair_04d75ac0,h,olympiads,ok,10,1215426,7,27,10,1.0,10,19,0,6,4,4,9,741904
pair_04dea9e8,a,olympiads,ok,23,15175020,8,23,23,1.0,23,29,5,10,8,13,11,5179025
pair_04dea9e8,h,olympiads,ok,0,1109479,7,2,0,1.0,0,0,0,0,0,0,0,0
pair_04f00bb0,a,olympiads_ref,ok,0,1821,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_04f00bb0,h,olympiads_ref,ok,0,10950,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_050e20e0,a,aops_forum,ok,7,6355391,7,11,7,1.0,7,2,5,2,0,5,0,0
pair_050e20e0,h,aops_forum,ok,14,4290209,7,14,14,1.0,2,13,4,7,3,7,3,1327510
pair_0518d62e,a,math_train,ok,10,2977493,7,10,10,1.0,10,46,3,0,7,10,39,15101639
pair_0518d62e,h,math_train,ok,0,430348,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_052d5199,a,olympiads,ok,20,393618,6,21,20,1.0,9,17,5,13,2,7,2,21478
pair_052d5199,h,olympiads,ok,1,67263,5,5,1,1.0,1,1,0,1,0,0,0,0
pair_0531c85a,a,math_train,ok,1,68431,5,1,1,1.0,1,1,0,1,0,0,0,0
pair_0531c85a,h,math_train,ok,0,68431,5,1,0,1.0,0,0,0,0,0,0,0,0
pair_05689e6a,a,math_test,ok,1,118382,6,1,1,1.0,1,1,0,1,0,0,0,0
pair_05689e6a,h,math_test,ok,1,56038,5,1,1,1.0,1,1,0,1,0,0,0,0
pair_058b547e,a,math_train,ok,0,1233,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_058b547e,h,math_train,ok,0,133,3,0,0,1.0,0,0,0,0,0,0,0,0
pair_0593f7aa,a,secondary_math,ok,20,461146,6,26,20,1.0,8,26,0,16,4,4,6,210185
pair_0593f7aa,h,secondary_math,ok,1,117552,6,3,1,1.0,0,2,0,0,1,1,1,14744
pair_05bb3001,a,number_theory,ok,0,1601,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_05bb3001,h,number_theory,ok,0,1793,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_05d55f6d,a,cn_k12,ok,10,67402,5,10,10,1.0,10,10,2,6,2,4,2,21544
pair_05d55f6d,h,cn_k12,ok,3,33624,5,3,3,1.0,3,3,0,3,0,0,0,0
pair_05e87a03,a,olympiads_ref,ok,10,309176,6,10,10,1.0,8,19,0,6,4,4,9,128009
pair_05e87a03,h,olympiads_ref,ok,1,87298,5,2,1,1.0,1,1,0,1,0,0,0,0
pair_05ebda3a,a,olympiads_ref,ok,0,3920745,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_05ebda3a,h,olympiads_ref,ok,4,566404,6,4,4,1.0,4,18,0,1,3,3,14,278850
pair_05f39502,a,olympiads,ok,3,16569571,8,3,3,1.0,3,3492,0,0,3,3,3489,405896959
pair_05f39502,h,olympiads,ok,7,13435070,8,39,7,1.0,1,409,0,0,7,7,402,26053484
pair_064daf4b,a,olympiads,ok,2,630,3,2,2,1.0,2,2,0,2,0,0,0,0
pair_064daf4b,h,olympiads,ok,1,397,3,1,1,1.0,1,1,0,1,0,0,0,0
pair_065af37a,a,number_theory,ok,0,57,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_065af37a,h,number_theory,ok,0,57,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_06814684,a,number_theory,ok,0,14127,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_06814684,h,number_theory,ok,0,14127,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_06976f82,a,math_train,ok,1,113231,6,1,1,1.0,1,1,0,1,0,0,0,0
pair_06976f82,h,math_train,ok,2,75686,5,2,2,1.0,2,2,0,2,0,0,0,0
pair_06c31283,a,aops_forum,ok,0,6034505,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_06c31283,h,aops_forum,ok,0,586507,6,2,0,1.0,0,0,0,0,0,0,0,0
pair_06c49753,a,math_test,ok,0,1133991,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_06c49753,h,math_test,ok,0,1133991,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_06ca221d,a,math_train,ok,10,1449386,7,10,10,1.0,8,156,0,1,9,9,146,8838126
pair_06ca221d,h,math_train,ok,8,482205,6,14,8,1.0,5,34,0,4,4,4,26,1301410
pair_06d63d71,a,cn_k12,ok,8,1131236,7,8,8,1.0,5,9,0,7,1,1,1,6531
pair_06d63d71,h,cn_k12,ok,2,430257,6,2,2,1.0,2,2,0,2,0,0,0,0
pair_06e244fd,a,olympiads,ok,13,1879126,7,13,13,1.0,2,13,2,9,2,4,2,321406
pair_06e244fd,h,olympiads,ok,15,1854867,7,15,15,1.0,5,14,2,12,1,3,1,240954
pair_06f4633b,a,math_test,ok,0,215,3,0,0,1.0,0,0,0,0,0,0,0,0
pair_06f4633b,h,math_test,ok,0,85,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_06f83365,a,amc_aime,ok,0,2281,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_06f83365,h,amc_aime,ok,0,7369,4,0,0,1.0,0,0,0,0,0,0,0,0
pair_06fcc9a3,a,olympiads_ref,ok,7,964625,6,7,7,1.0,7,22,0,4,3,3,15,127655
pair_06fcc9a3,h,olympiads_ref,ok,0,428469,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_07080fc2,a,math_train,ok,1,118304,6,1,1,1.0,1,2,0,0,1,1,1,12257
pair_07080fc2,h,math_train,ok,0,159759,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_070c0d6f,a,amc_aime,ok,2,6381,4,2,2,1.0,2,2,0,2,0,0,0,0
pair_070c0d6f,h,amc_aime,ok,8,187640,6,10,8,1.0,8,12,0,4,4,4,4,62728
pair_072b0804,a,math_train,ok,0,288735,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_072b0804,h,math_train,ok,0,288735,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_0749b78a,a,amc_aime,ok,12,442837,6,12,12,1.0,3,633,5,3,4,9,626,43042599
pair_0749b78a,h,amc_aime,ok,12,273505,6,23,11,0.9166666666666666,8,13,0,9,2,2,2,57703
pair_075eafcb,a,math_train,ok,0,2139507,7,5,0,1.0,0,0,0,0,0,0,0,0
pair_075eafcb,h,math_train,ok,1,1037550,7,7,1,1.0,0,1,0,1,0,0,0,0
pair_07611987,a,olympiads_ref,ok,0,295183,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_07611987,h,olympiads_ref,ok,3,388376,6,3,3,1.0,3,3,0,3,0,0,0,0
pair_07672585,a,olympiads,ok,0,345009,6,0,0,1.0,0,0,0,0,0,0,0,0
pair_07672585,h,olympiads,ok,10,1450764,7,10,10,1.0,10,14,4,2,4,8,8,2344438
pair_0788ec65,a,olympiads,ok,15,3738292,7,15,15,1.0,11,39,2,8,5,7,26,895929
pair_0788ec65,h,olympiads,ok,1,1219034,7,4,1,1.0,0,2,0,0,1,1,1,3
pair_0796f32a,a,olympiads_ref,ok,39,2282462,7,45,39,1.0,9,48,8,19,12,20,17,7323185
pair_0796f32a,h,olympiads_ref,ok,3,83767,5,7,3,1.0,1,4,0,2,1,1,1,45
pair_07a0e438,a,cn_k12,ok,3,209052,6,3,3,1.0,3,2,2,0,1,3,1,9569
pair_07a0e438,h,cn_k12,ok,0,212230,6,2,0,1.0,0,0,0,0,0,0,0,0
pair_07a8cc19,a,olympiads,ok,0,1259765,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_07a8cc19,h,olympiads,ok,0,2791651,7,0,0,1.0,0,0,0,0,0,0,0,0
pair_07bf7efd,a,math_train,ok,8,1316252,7,8,8,1.0,2,93,0,1,7,7,85,9125578
pair_07bf7efd,h,math_train,ok,0,635182,6,1,0,1.0,0,0,0,0,0,0,0,0
pair_07e2be72,a,amc_aime,ok,0,39141,5,0,0,1.0,0,0,0,0,0,0,0,0
pair_07e2be72,h,amc_aime,ok,0,67,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_07f20614,a,math_test,ok,8,14618160,8,9,8,1.0,8,6,2,6,0,2,0,0
pair_07f20614,h,math_test,ok,10,2565300,7,12,10,1.0,10,10,0,10,0,0,0,0
pair_080533ba,a,number_theory,ok,0,37,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_080533ba,h,number_theory,ok,0,41,2,0,0,1.0,0,0,0,0,0,0,0,0
pair_08062338,a,olympiads_ref,ok,15,838846,6,15,15,1.0,9,17,4,7,4,8,6,135174
pair_08062338,h,olympiads_ref,ok,0,280664,6,2,0,1.0,0,0,0,0,0,0,0,0
pair_08063e2d,a,olympiads_ref,ok,17,1624960,7,18,17,1.0,6,53,1,6,10,11,37,7720163
pair_08063e2d,h,olympiads_ref,ok,6,1012708,7,10,6,1.0,5,12,0,0,6,6,6,410753
pair_0841245e,a,cn_k12,ok,16,4997347,7,25,16,1.0,7,11,6,9,1,7,1,1154860
pair_0841245e,h,cn_k12,ok,8,1751601,7,19,8,1.0,7,17,0,2,6,6,9,261045
pair_084c3fd4,a,math_train,ok,10,818502,6,10,10,1.0,6,66,0,5,5,5,56,2165024
pair_084c3fd4,h,math_train,ok,28,961470,6,32,28,1.0,14,109,6,11,11,17,87,1498760
pair_08529cad,a,amc_aime,ok,13,674241,6,14,13,1.0,11,24,1,4,8,9,12,653163
pair_08529cad,h,amc_aime,ok,0,1007039,7,0,0,1.0,0,0,0,0,0,0,0,0
