alpha,alpha_err,dL1_mean,dL1_min,depth,edges,eps_crit,f2,frac_axioms,group,max_out_degree,mean_belief_e2,mean_in_degree,modularity,n_modules,name,nodes,ntail,out_gini,theorem,xmin
1.745,0.014,33.24,21.05,73,101832,0.4,1.0,0.03478964401294499,default,3290,0.9994,13.731391585760518,0.49,10,sqrt2_irrational_decl,7416,2982,0.8552882709792206,0,3
2.482,0.029,3.72,2.99,158,26776,0.2,1.0,0.048986486486486486,default,719,0.9923,1.884572072072072,0.744,24,ptolemy_term,14208,2611,0.4437134658794214,3790,2
1.701,0.01,32.44,16.21,86,120921,0.4,1.0,0.1756058343861261,default,3085,0.9979,13.887791432181004,0.453,10,stirling_decl,8707,4759,0.8488839257811948,0,2
2.419,0.022,3.77,3.31,194,45594,0.15,1.0,0.047475040391068396,default,1075,0.9939,1.8888106383860144,0.744,31,pi_irrational2_term,24139,4117,0.44772810710761507,4407,2
2.087,0.051,3.67,2.4,266,30806,0.15,1.0,0.02063660809205178,default,1146,0.995,1.9264586329810518,0.673,33,schroeder_bernstein_term,15991,458,0.4661774889094456,119,5
2.861,0.017,3.52,2.61,136,22249,0.2,1.0,0.07239930812947863,default,787,0.9909,1.8325508607198748,0.733,26,stirling_term,12141,12140,0.4323414821833538,1760,1
1.676,0.007,29.97,19.16,81,115864,0.4,1.0,0.19824175824175824,default,2922,0.9976,12.732307692307693,0.455,10,strong_law_large_numbers_decl,9100,8615,0.8470059706226246,0,1
1.88,0.028,31.44,18.54,55,100461,0.4,1.0,0.04493678808361497,default,3667,0.9995,12.574915508824635,0.448,11,sylow_theorem_decl,7989,1019,0.8557440922095666,0,12
1.909,0.032,25.86,10.78,34,53517,0.4,1.0,0.04716782480522215,default,2145,0.9992,11.26910928616551,0.474,10,wilsons_lemma_decl,4749,790,0.8357860385196773,0,9
2.904,0.013,3.64,3.15,259,38825,0.1,1.0,0.0375365141187926,default,1261,0.9936,1.8902142161635833,0.718,33,quadratic_reciprocity_term,20540,20539,0.45166345252553247,1741,1
1.939,0.051,3.61,3.0,187,23842,0.15,0.9968,0.06387132037167174,default,594,0.9927,1.8616381666276256,0.719,22,strong_law_large_numbers_term,12807,335,0.4475361392958342,2554,5
1.982,0.054,3.57,2.31,284,25594,0.1,0.9492,0.048658947676974935,default,940,0.9924,1.8755679319947238,0.7,25,sylow_theorem_term,13646,335,0.45285602820929,316,5
2.477,0.024,3.73,2.64,360,43474,0.1,0.9873,0.04465441366813357,default,1537,0.9926,1.875657951505738,0.727,29,sqrt2_irrational_term,23178,3648,0.4479455334884101,39,2
2.956,0.014,3.43,2.69,210,34478,0.15,0.9746,0.043445204735527314,default,1460,0.9939,1.8723797110893885,0.715,28,wilsons_lemma_term,18414,18413,0.4485741425061309,1868,1
2.948,0.012,3.56,3.02,413,46429,0.03,0.95,0.041361937266374126,default,1585,0.9942,1.8864375101576467,0.724,32,reals_uncountable_term,24612,24611,0.45225140338863834,12,1
2.471,0.019,3.73,3.1,351,69657,0.1,1.0,0.03580017490161784,default,1986,0.9942,1.9036128115435067,0.733,32,fermat_last_three_term,36592,5789,0.45580761521008817,1478,2
1.84,0.049,25.58,7.06,22,5850,0.4,1.0,0.09946236559139784,default,319,0.9947,7.862903225806452,0.103,31,bezout_gcd_decl,744,298,0.7708767576509512,0,3
