in_alpha_powerlaw,in_alpha_xmin10,in_fit_status,in_lr_power_vs_exponential,in_lr_power_vs_lognormal,in_lr_power_vs_stretched_exponential,in_n_tail,in_p_power_vs_exponential,in_p_power_vs_lognormal,in_p_power_vs_stretched_exponential,in_xmin,name,out_alpha_powerlaw,out_alpha_xmin10,out_fit_status,out_lr_power_vs_exponential,out_lr_power_vs_lognormal,out_lr_power_vs_stretched_exponential,out_n_tail,out_p_power_vs_exponential,out_p_power_vs_lognormal,out_p_power_vs_stretched_exponential,out_xmin
2.999999999999999,8.958141879894072,,-4.234975306025193,-7.617655650391231,-5.677771125221447,73,2.2857682296037575e-05,2.5832432211708538e-14,1.364611304571181e-08,10,FTA,2.28651112559979,2.28651112559979,,6.121218963790656,-0.23402526890717731,1.967503484649311,732,9.286218888321889e-10,0.8149653615488306,0.04912519458176831,10
2.999999999999999,11.131119839954494,,-20.85924958400775,-20.73591420704311,-20.822865864234878,297,1.2562715856622767e-96,1.6430330722454814e-95,2.6862906552634957e-96,10,FTC1,2.2373856343145664,2.237385634314566,,4.979421499659075,-0.05364494725853848,1.3647912484609006,645,6.377461362868047e-07,0.9572180453123031,0.17231867020473635,10
2.999999999999999,5.823954722346796,,-3.5861306726840136,-3.38844759862742,-3.4536602819820694,32,0.0003356208286839918,0.000702894581167686,0.0005530335558090284,10,Goedel_sIncompleteness1st,1.9848281008878867,1.9848281008878867,,6.278136881485303,0.014845619592345899,1.8133279897295322,596,3.426541902770084e-10,0.988155344412033,0.06978124876130334,10
2.999999999999999,4.0751095225856755,,-10.018605021296326,-5.656390479914804,-6.116362318044642,281,1.2627255108357399e-23,1.5458954476629696e-08,9.573552502601382e-10,10,IVT_cor,2.087706492391594,2.087706492391594,,4.668879572292884,-0.6240305011640354,1.5858500532706936,347,3.028468282229679e-06,0.5326075541704569,0.11277332823412295,10
2.999999999999999,8.746322221409487,,-4.405284031091386,-4.740581527926943,-5.178712203735934,15,1.0564536063819874e-05,2.131056783569878e-06,2.2342283284974364e-07,10,Lagrange,2.2310273867914416,2.2310273867914416,,3.897240178949545,-1.0519974162981576,-0.8518652782895492,403,9.729511598262945e-05,0.2928007350317027,0.39428887017104475,10
2.999999999999999,13.170845412046518,,-13.841840497149244,-14.156306247157934,-14.07534215213749,116,1.4251038062958914e-43,1.7073545563904527e-45,5.3843661437850254e-45,10,Law_of_the_Mean,2.198870529909869,2.198870529909869,,4.671807236457312,-1.0056827855146075,2.3569508990051578,322,2.985610905946127e-06,0.31456818657935814,0.018425683014957357,10
2.999999999999999,5.594242897366208,,-20.178160064125795,-12.47455398916535,-12.745620586373871,117,1.5231084023426856e-90,1.0278007960177288e-35,3.2975625020607978e-37,10,Liouville_theorem,2.3078705940846245,2.3078705940846245,,4.974112405320439,-0.6700291988928759,-0.06096041737401195,450,6.55472690133355e-07,0.5028391768295686,0.9513907327569784,10
2.999999999999999,5.241074482207468,,-24.764179693241424,-8.387452998918429,-9.465467166188354,61,2.1812017731928064e-135,4.96787694478112e-17,2.9225172801804e-21,10,Pigeonhole,2.3656478576031326,2.3656478576031326,,2.9447896604488326,-0.07500251500158739,0.6563688233952941,256,0.0032317428296344346,0.9402127108493232,0.5115868450025375,10
2.999999999999999,4.017377956954746,,-3.5821217233745823,-3.902905035415796,-4.204062211436734,181,0.0003408149150788484,9.504500100996424e-05,2.621668293159015e-05,10,Q_countable,2.2205182731868334,2.220518273186834,,3.9103654122819798,-0.29380722012399046,0.5500067861009301,432,9.215659861445999e-05,0.7689052176097275,0.5823147190821518,10
,,insufficient tail variation,,,,0,,,,10,Quadratic_reciprocity,2.07102140365381,2.07102140365381,,5.04775280295394,-1.002501900276496,2.9687181475174063,274,4.4703703360806457e-07,0.3161012492331364,0.002990447533649868,10
