uuid,h_n_lines,h_n_tactics,h_n_have,h_n_premise_refs,h_n_distinct_premises,h_vocab_ratio,a_n_lines,a_n_tactics,a_n_have,a_n_premise_refs,a_n_distinct_premises,a_vocab_ratio
2bf91739-cd1b-51f9-aad0-044031838c2d,10,5,4,1,2,2.0,11,4,2,3,3,1.0
29059eae-5efb-578b-9535-08ae7d6cec00,40,24,10,3,5,1.6666666666666667,29,9,8,4,4,1.0
f3902d8c-0bdd-530c-885a-7cbdf8d46f7a,2,0,0,2,4,2.0,2,0,0,2,3,1.5
11bdfb8e-3a96-509c-9017-83c0f6e33e4c,6,2,0,13,7,0.5384615384615384,6,1,0,13,7,0.5384615384615384
e30b7cd5-d198-58ac-a032-69902ac9b93f,18,18,3,5,5,1.0,29,12,10,3,4,1.3333333333333333
2ab4acb7-3c90-5b62-976a-a3de7377c93a,2,0,0,1,4,4.0,2,0,0,1,2,2.0
42247153-8d50-5c30-a0bc-af55c78c59a4,4,0,0,2,4,2.0,10,5,0,6,5,0.8333333333333334
76b2f707-94ad-57e7-8217-13d50224eca6,33,15,0,4,9,2.25,33,20,0,14,8,0.5714285714285714
05689e6a-feb5-5ab7-8080-ae5fb555e9ff,18,7,1,1,3,3.0,11,7,1,3,4,1.3333333333333333
1a4c80fd-0ab9-57ec-a6bd-bb7332933b8a,18,9,1,8,11,1.375,24,9,7,1,2,2.0
4974f97a-43db-5f6d-88ca-0e1fa0b27740,11,3,1,8,9,1.125,14,5,1,9,6,0.6666666666666666
f81be4de-616f-53be-8e8f-3f890ec57a8a,32,17,1,19,17,0.8947368421052632,17,10,1,2,3,1.5
affaf94d-a7c6-5bd1-93b5-6244cc6c62b2,8,3,0,4,8,2.0,12,6,5,6,4,0.6666666666666666
07e2be72-abc6-5fd9-9165-52989a54e196,3,1,0,3,8,2.6666666666666665,2,0,0,4,2,0.5
b5ba72ad-797c-5906-b1fb-0387c4190c8b,49,33,9,7,13,1.8571428571428572,53,25,9,12,10,0.8333333333333334
1352702d-c8e1-510e-a3cc-b7504d294706,17,9,2,12,12,1.0,2,0,0,2,3,1.5
68f8a65f-3c07-5e37-9d60-ec0a9737eb87,31,14,5,12,7,0.5833333333333334,19,9,3,10,4,0.4
33f8d99b-271e-5163-8677-f386aa7b6350,36,11,6,8,9,1.125,21,8,6,2,2,1.0
aaefa534-c069-568f-9f61-8b5a7fd86744,21,9,5,28,12,0.42857142857142855,39,19,14,12,3,0.25
d354e6bc-f7e2-5457-8f37-9c99d8779068,12,7,4,19,7,0.3684210526315789,15,9,4,22,8,0.36363636363636365
17a1b79b-a52f-517b-92e4-b4a5fe21a8cc,2,0,0,1,3,3.0,2,0,0,1,3,3.0
af58b0a0-a52a-5f1b-8f06-4365b9fd50c1,11,6,2,6,11,1.8333333333333333,17,5,7,3,6,2.0
02cae9ff-6d99-5d76-8d0f-477155c7d66a,23,13,2,17,18,1.0588235294117647,8,3,1,11,8,0.7272727272727273
4aea7a0a-aace-5627-bf82-81c556a12757,12,4,1,5,9,1.8,18,7,3,4,4,1.0
769dcfbe-fa63-5ae8-aa9e-4f852eae804d,40,9,3,16,9,0.5625,3,0,0,1,3,3.0
8cf171b5-b26c-5e28-9957-1800f8b46855,7,3,0,2,5,2.5,6,2,0,3,4,1.3333333333333333
ba89de36-aa36-5f9a-ac1a-12100409146d,2,0,0,1,4,4.0,2,0,0,1,3,3.0
8b90965a-fcfb-5fc9-a6fe-207def4a2f92,65,21,18,40,15,0.375,44,18,13,18,3,0.16666666666666666
63f93fa4-71cf-5cdc-8320-539cb768009a,6,2,0,5,5,1.0,24,19,1,13,8,0.6153846153846154
8932c016-bf88-506b-9361-c6c4b4a3c9d0,3,0,0,2,4,2.0,3,0,0,2,3,1.5
915d7da0-e5e2-5474-9457-fedd48b00c9d,11,6,0,3,7,2.3333333333333335,15,7,2,11,5,0.45454545454545453
e2d5070d-4907-5623-b29c-1b2ab643ac7c,2,0,0,1,5,5.0,2,0,0,4,4,1.0
1a9098cd-18e8-5aef-a548-aebc56e454b6,2,0,0,1,2,2.0,2,0,0,1,2,2.0
c9e45f55-5b1b-5455-a5e9-ba185a2dfd87,58,29,3,12,10,0.8333333333333334,9,3,1,8,6,0.75
33135e91-c3ff-5973-b403-451b83eb6b49,22,12,4,2,2,1.0,24,13,8,2,2,1.0
621d5eb0-bac3-5995-b943-1be00baefff8,2,0,0,1,3,3.0,2,0,0,1,3,3.0
98b1023d-e275-5354-beb3-7566ac077211,4,1,0,2,9,4.5,4,1,0,2,3,1.5
7f1ef490-96a4-5fb3-bab1-b106f32baabd,3,2,0,3,3,1.0,2,0,0,1,2,2.0
ef15dc4b-c455-55b2-a11d-59eda88ef755,9,5,0,7,14,2.0,9,4,1,4,2,0.5
6978d00d-c8db-55a7-bf28-78b7278438b8,12,4,4,20,4,0.2,13,6,5,25,4,0.16
e6da8a23-9765-57c6-b85f-c9b5dbe04c6e,29,10,5,16,17,1.0625,16,7,0,5,4,0.8
c6b3563e-d1db-5afe-86a1-7abc1d47b177,6,2,0,3,5,1.6666666666666667,14,7,0,7,5,0.7142857142857143
afe2f3a6-debe-504d-86a2-3157b01cd6e1,2,0,0,4,3,0.75,2,0,0,3,2,0.6666666666666666
3d2c868d-040b-5f95-8049-83a435b407a5,74,41,6,72,36,0.5,4,1,1,3,4,1.3333333333333333
6876e834-db51-5bcf-b246-d537b6ccbb59,8,5,1,3,7,2.3333333333333335,19,10,7,3,4,1.3333333333333333
82b4d725-3cbf-516f-bdba-32815d95bc4f,45,28,6,45,31,0.6888888888888889,5,0,0,4,2,0.5
00f46d63-9e6e-568a-bfd1-21907aabf790,15,4,1,8,10,1.25,23,9,5,12,11,0.9166666666666666
f39ff433-69b0-52d9-95dd-0db034f48f7b,50,32,6,3,4,1.3333333333333333,16,9,4,3,3,1.0
3e6b57e9-d5ed-581c-bf46-9306fa9b6806,5,3,0,11,10,0.9090909090909091,3,1,0,9,5,0.5555555555555556
1db80b11-d79d-56d1-9eff-17a111f4b2c5,77,46,4,46,10,0.21739130434782608,78,46,4,48,10,0.20833333333333334
902e152c-0fb1-514b-a043-56e7954f81a2,5,1,0,2,5,2.5,5,1,0,2,3,1.5
31efc93a-e2b5-5cb2-ba5f-f5443a35b62c,10,3,0,5,7,1.4,10,5,1,3,3,1.0
4d68f3d1-8427-5af8-96bf-7d0f58930f1a,6,3,0,5,8,1.6,10,4,1,10,5,0.5
ec2f2451-4ac7-5e28-99c6-967feccc2f70,50,31,3,32,23,0.71875,19,8,1,5,4,0.8
ac854115-e733-5bff-8740-8d36f44ea197,60,24,12,44,37,0.8409090909090909,102,59,29,58,34,0.5862068965517241
869a2011-6291-5312-9a4d-7a9a7c238126,17,8,3,5,7,1.4,8,4,0,1,2,2.0
63a3f3f5-12cc-520c-9f94-005e053459b3,122,59,12,70,25,0.35714285714285715,85,41,25,63,13,0.20634920634920634
a41e71a8-fd09-53bc-b715-24ed0b97d916,14,10,0,4,5,1.25,59,39,21,23,11,0.4782608695652174
a3f82c75-6aad-5392-aea7-01ffe1034571,14,4,0,3,5,1.6666666666666667,14,8,3,7,6,0.8571428571428571
2fe3edb5-e17d-5b26-8aea-b919c490721a,19,5,1,7,7,1.0,4,2,0,5,4,0.8
05d55f6d-3cfc-596d-ad62-4f053cfdacb1,21,9,3,9,9,1.0,30,12,10,17,9,0.5294117647058824
b4c14075-ac1f-5b16-ace5-4fcf92b05cee,12,7,0,5,5,1.0,16,7,0,5,5,1.0
a4b6f46f-d816-5216-931b-58dc887a356e,29,15,1,13,14,1.0769230769230769,12,4,0,6,6,1.0
bf7f9742-ed69-5a7f-a4f8-47e75745393f,5,1,0,1,5,5.0,5,1,0,3,3,1.0
b7f5af11-6fc9-515e-9ec5-d3c0e29c5682,4,1,0,3,8,2.6666666666666665,4,1,0,3,2,0.6666666666666666
81a23aeb-e013-5e29-973e-d2c669e4c4b1,18,7,1,2,8,4.0,3,1,0,2,3,1.5
26741d23-193e-59bf-a84f-53db441ea0e9,39,29,12,7,10,1.4285714285714286,48,27,16,6,7,1.1666666666666667
5351e245-e9aa-58ee-8c9e-d58da6c2e74b,4,1,0,1,4,4.0,9,5,1,3,3,1.0
f17d5666-88ce-5567-9755-abbce07c2c64,3,1,0,2,4,2.0,4,2,0,5,4,0.8
14da2adf-2035-5131-a3e5-58d937ad518b,23,8,3,26,27,1.0384615384615385,2,0,0,2,4,2.0
a60ac2eb-9cef-53a0-b0b7-3271a9457767,5,0,0,6,3,0.5,4,0,0,6,2,0.3333333333333333
f5543c0c-2979-537c-942c-f20ce5d3d87c,12,6,2,4,8,2.0,24,12,4,10,8,0.8
c41a8ca9-da84-5a28-b2ba-3fa6a86d7bee,55,24,16,25,13,0.52,5,2,0,3,2,0.6666666666666666
6301c32d-e390-5f51-88ce-256268ecf562,4,4,0,4,5,1.25,4,1,0,2,3,1.5
94e75697-a907-57b4-a6c7-e6d8cfe3d228,3,1,0,4,5,1.25,3,1,0,5,4,0.8
c41e393b-0307-5ab3-9ee3-63295526c6e3,1,0,0,5,5,1.0,6,4,0,5,3,0.6
4a1db50a-2b22-5907-9299-3aca70b3e6aa,9,3,1,2,2,1.0,8,2,1,2,2,1.0
e4a0a866-2951-5f94-9ab1-de911b4685a8,3,1,0,4,9,2.25,2,0,0,2,3,1.5
651ba6a0-aeda-5043-8b9f-649149fe54ad,2,0,0,2,2,1.0,3,0,0,2,2,1.0
609a472f-a9a2-52f8-935a-afb01dd49234,52,23,6,11,13,1.1818181818181819,50,22,7,11,12,1.0909090909090908
74caf35f-c9a5-5e7c-880c-23b2ac90601d,2,1,0,2,6,3.0,2,0,0,2,3,1.5
759606e4-d3e7-56ba-b04a-22adc1e7f59c,6,4,0,5,4,0.8,7,4,0,5,3,0.6
ba2e53aa-02e4-5629-8f1b-7a69077f5e65,92,48,11,43,31,0.7209302325581395,45,23,7,13,12,0.9230769230769231
e7428422-9cc2-57d8-9e75-d98a368950ea,7,3,0,10,7,0.7,5,2,1,10,5,0.5
2fc6a122-9b2a-5c1a-b1f2-f8138c33c7f6,5,3,0,7,21,3.0,26,15,7,22,3,0.13636363636363635
4a23a011-53d2-5c67-9ccf-207c60633909,31,17,1,14,18,1.2857142857142858,27,14,1,8,8,1.0
a72bc4ae-028c-5e9b-9167-05697171858f,10,4,2,1,2,2.0,9,3,2,1,2,2.0
74d1dc10-e86d-5008-a8ec-94c4b0939cd4,39,18,4,31,24,0.7741935483870968,22,14,2,5,3,0.6
fae7d877-68d3-5946-b35e-6f697ce90f4a,55,27,15,18,28,1.5555555555555556,5,1,0,2,3,1.5
55d03933-c600-5008-8bf5-236bd6f02582,15,6,3,12,10,0.8333333333333334,2,0,0,1,2,2.0
70ad8bd3-342d-595f-b4c5-893be73d694b,63,31,11,29,36,1.2413793103448276,21,12,0,4,4,1.0
