uuid,source,h_n_lines,h_n_tactics,h_n_have,h_n_premise_refs,h_premises_loose,h_premises_strict,a_n_lines,a_n_tactics,a_n_have,a_n_premise_refs,a_premises_loose,a_premises_strict
b2e9f3a3-a7a5-5788-807d-a934ca9df56d,math_train,3,1,0,1,2,1,2,0,0,2,2,1
74e05d44-1e11-5101-b3be-e133b31d5a20,olympiads_ref,23,10,1,5,3,2,15,8,1,10,4,3
5a7fc501-05ee-5093-ae1e-f40fa482b2bc,amc_aime,89,99,19,49,20,18,15,6,0,3,3,1
8fbe9093-0fbc-53b0-8e44-74f05c9b22e1,number_theory,8,1,0,6,2,1,24,10,0,12,2,1
5e987250-9d05-56ce-ba34-21dacf0af756,cn_k12,9,9,0,5,6,5,19,12,3,3,4,3
95cc16d3-0dbe-5ea7-8a67-94f493c0292c,math_train,8,3,0,1,2,1,14,7,0,3,4,3
a81a9e35-aab0-5029-8b6f-7dd84cc30c7f,amc_aime,7,2,0,5,2,0,27,8,7,12,2,0
c4261dae-ec2c-5083-b3d9-39a9e6d4d650,cn_k12,16,6,4,1,2,1,17,8,5,1,2,1
fd82fe58-d9de-5e42-84ec-fe109199f99e,math_train,4,2,0,1,2,0,16,9,2,1,2,0
6bf8e110-28f3-519d-843e-dae3dea3420e,math_train,4,1,0,4,3,2,56,15,6,44,4,3
4260e68a-c655-55b1-b377-10576fb84908,math_train,2,0,0,1,2,0,2,0,0,2,3,1
7031ed4a-6182-5c7d-9d19-55bf96626696,olympiads_ref,94,45,3,40,19,12,3,0,0,2,4,1
f960eb42-b31d-572e-a814-3d07654fe7f8,math_test,43,24,6,27,8,5,37,21,13,28,8,5
80de1ec1-dcf4-5b11-b777-080ba54d9e11,cn_k12,12,6,0,1,2,1,13,6,2,3,4,3
7f32ef1d-a2c4-53fb-b747-cff52bc27969,math_train,8,5,0,3,3,2,14,4,2,9,4,3
4bcf9945-b019-5cdd-9740-58d09951f26a,amc_aime,6,3,0,9,9,4,6,3,0,9,9,4
149fe16f-5e4d-586c-aea5-aafc6a7e9dea,olympiads_ref,12,5,5,1,2,0,11,5,5,1,2,0
c9f61fd9-ba98-5489-85d6-2e802e808586,math_train,6,3,1,10,9,8,2,0,0,2,3,2
5c432470-c0d6-54bc-bc96-c692626417f6,math_train,8,4,1,2,3,1,14,6,3,1,2,0
bf349feb-5acc-532b-89b2-db5165c221fe,math_train,6,1,0,8,3,0,20,7,5,22,4,1
e2a542d7-80ce-5a8d-9d83-f30dc98bc69e,cn_contest,13,2,4,6,5,4,19,7,8,8,5,4
2f0c61c8-a8f7-54be-8c18-babaa91b1821,math_test,21,13,2,25,18,14,4,0,0,8,5,3
7f25083e-d944-547c-bfed-77570ed80ce7,number_theory,5,2,1,9,9,8,6,3,2,5,6,5
db22416f-edac-53e8-82a2-7cb4430dc165,math_train,11,4,0,1,2,0,21,11,0,5,4,2
e335c305-2d2b-5fdb-be7b-6b5398180927,math_train,2,0,0,3,2,0,2,0,0,3,2,0
3eaf1908-388c-5c22-b2c2-72920de9783e,math_train,154,76,28,103,40,23,128,61,17,87,30,13
ff9f44c9-a287-5374-b452-69ecd4cf3aed,math_test,9,7,1,3,5,1,6,2,0,3,5,1
677749e1-a5df-520c-a393-4d2bc19245e1,math_train,25,14,2,3,4,3,26,12,2,5,6,5
29b6459c-dddf-570a-a965-389f01da2156,math_test,24,11,3,13,7,3,2,0,0,1,2,1
5bd30240-d09e-587e-b3ea-7f53b65393eb,math_test,2,0,0,1,2,1,2,0,0,1,2,1
c81e61c2-4b24-58c8-9928-a251d33f5abe,olympiads,9,4,1,9,5,3,37,33,1,11,10,8
48881c66-0ff2-5b04-b9b8-7c62ba081dd1,amc_aime,88,54,8,6,4,2,54,30,8,8,5,3
6c0af0ff-15d4-5789-a0a7-c75631416239,math_train,10,6,0,9,4,3,11,3,4,13,12,11
7b69108e-db63-51a7-b732-891ae946fce7,olympiads,3,0,0,4,2,0,12,4,4,7,2,0
08a52a63-e01c-5b62-b4b2-a83dd874dfa9,amc_aime,73,44,8,71,27,19,5,1,0,5,7,2
3d18ef8b-e560-53f5-8de5-6c38c0ccf174,olympiads,4,0,0,2,2,1,4,0,0,2,2,1
fec805f0-ea96-541a-9f9b-a152d0b61a98,math_test,10,4,1,2,3,2,17,8,5,1,2,1
4e8f58e6-96cc-5d4d-838d-83f64b3cd30f,math_train,4,2,0,1,2,0,11,5,1,1,2,0
08a92869-afe8-5079-8819-d2abb0cfe831,math_train,2,0,0,12,3,0,3,0,0,12,3,0
1a0e69c5-b488-5319-9224-e076131bd7d3,olympiads,78,40,19,10,10,5,68,34,12,40,10,5
2bf91739-cd1b-51f9-aad0-044031838c2d,olympiads,10,5,4,1,2,1,11,2,2,1,2,1
29059eae-5efb-578b-9535-08ae7d6cec00,math_train,35,21,10,3,4,3,29,11,8,2,3,2
f3902d8c-0bdd-530c-885a-7cbdf8d46f7a,math_train,2,0,0,2,3,1,2,0,0,2,3,1
11bdfb8e-3a96-509c-9017-83c0f6e33e4c,math_test,6,2,0,13,7,2,6,1,0,13,7,2
2ab4acb7-3c90-5b62-976a-a3de7377c93a,math_test,2,0,0,1,2,1,2,0,0,1,2,1
42247153-8d50-5c30-a0bc-af55c78c59a4,math_train,4,0,0,2,3,1,10,5,0,4,4,2
76b2f707-94ad-57e7-8217-13d50224eca6,math_test,25,13,0,4,6,0,33,20,0,4,6,0
05689e6a-feb5-5ab7-8080-ae5fb555e9ff,math_test,11,6,1,1,2,0,11,5,1,1,2,0
4974f97a-43db-5f6d-88ca-0e1fa0b27740,cn_k12,8,4,1,5,5,4,14,5,1,7,5,4
f81be4de-616f-53be-8e8f-3f890ec57a8a,math_train,23,16,1,15,9,7,17,10,1,2,3,1
affaf94d-a7c6-5bd1-93b5-6244cc6c62b2,math_test,8,3,0,4,5,4,12,6,5,6,4,3
07e2be72-abc6-5fd9-9165-52989a54e196,amc_aime,2,1,0,3,2,1,2,0,0,4,2,1
b5ba72ad-797c-5906-b1fb-0387c4190c8b,math_train,39,26,7,1,5,1,53,25,9,4,8,4
1352702d-c8e1-510e-a3cc-b7504d294706,number_theory,13,7,2,7,8,5,2,0,0,2,3,1
68f8a65f-3c07-5e37-9d60-ec0a9737eb87,math_train,26,11,5,12,5,4,19,9,3,10,4,3
aaefa534-c069-568f-9f61-8b5a7fd86744,amc_aime,14,7,5,12,3,0,39,19,14,12,3,0
d354e6bc-f7e2-5457-8f37-9c99d8779068,math_train,12,7,4,19,7,6,15,9,4,22,8,7
af58b0a0-a52a-5f1b-8f06-4365b9fd50c1,cn_k12,8,6,2,3,6,2,17,5,7,3,6,2
02cae9ff-6d99-5d76-8d0f-477155c7d66a,math_train,22,12,1,11,12,10,8,3,1,11,8,6
4aea7a0a-aace-5627-bf82-81c556a12757,math_train,9,2,1,3,4,3,18,7,3,2,3,2
769dcfbe-fa63-5ae8-aa9e-4f852eae804d,amc_aime,35,4,1,8,3,0,3,0,0,1,3,0
8cf171b5-b26c-5e28-9957-1800f8b46855,math_train,5,3,0,1,2,1,6,2,0,1,2,1
ba89de36-aa36-5f9a-ac1a-12100409146d,math_train,2,0,0,1,3,2,2,0,0,1,3,2
8b90965a-fcfb-5fc9-a6fe-207def4a2f92,cn_contest,53,21,18,21,3,1,44,17,13,18,3,1
63f93fa4-71cf-5cdc-8320-539cb768009a,math_test,6,2,0,5,4,1,22,20,0,7,4,1
8932c016-bf88-506b-9361-c6c4b4a3c9d0,math_train,3,0,0,2,3,1,3,0,0,2,3,1
915d7da0-e5e2-5474-9457-fedd48b00c9d,math_train,8,5,0,3,4,3,15,7,2,5,4,3
e2d5070d-4907-5623-b29c-1b2ab643ac7c,math_train,2,0,0,1,2,1,2,0,0,1,2,1
1a9098cd-18e8-5aef-a548-aebc56e454b6,cn_contest,2,0,0,1,2,1,2,0,0,1,2,1
c9e45f55-5b1b-5455-a5e9-ba185a2dfd87,number_theory,46,29,3,10,7,5,9,3,1,8,6,4
621d5eb0-bac3-5995-b943-1be00baefff8,olympiads,2,0,0,1,3,1,2,0,0,1,3,1
98b1023d-e275-5354-beb3-7566ac077211,math_train,4,1,0,2,3,1,4,1,0,2,3,1
7f1ef490-96a4-5fb3-bab1-b106f32baabd,number_theory,2,0,0,1,2,1,2,0,0,1,2,1
ef15dc4b-c455-55b2-a11d-59eda88ef755,math_train,8,4,0,4,2,0,9,4,1,4,2,0
6978d00d-c8db-55a7-bf28-78b7278438b8,olympiads,12,4,4,20,4,3,13,6,5,25,4,3
e6da8a23-9765-57c6-b85f-c9b5dbe04c6e,math_train,20,10,3,6,6,4,16,7,0,1,2,0
c6b3563e-d1db-5afe-86a1-7abc1d47b177,math_test,6,2,0,3,4,1,14,7,0,5,4,1
afe2f3a6-debe-504d-86a2-3157b01cd6e1,math_test,2,0,0,4,2,1,2,0,0,3,2,1
3d2c868d-040b-5f95-8049-83a435b407a5,olympiads_ref,66,38,6,36,20,15,4,1,1,3,4,2
6876e834-db51-5bcf-b246-d537b6ccbb59,cn_k12,6,4,1,1,2,1,19,10,7,3,4,3
82b4d725-3cbf-516f-bdba-32815d95bc4f,olympiads,34,24,4,30,17,14,5,0,0,4,2,1
00f46d63-9e6e-568a-bfd1-21907aabf790,cn_k12,10,3,0,3,4,2,23,9,5,12,11,9
f39ff433-69b0-52d9-95dd-0db034f48f7b,secondary_math,50,31,6,1,2,0,16,8,4,1,2,0
3e6b57e9-d5ed-581c-bf46-9306fa9b6806,amc_aime,4,1,0,8,4,1,3,1,0,9,5,2
1db80b11-d79d-56d1-9eff-17a111f4b2c5,number_theory,77,46,4,44,10,4,78,46,4,44,10,4
902e152c-0fb1-514b-a043-56e7954f81a2,math_test,5,1,0,2,3,1,5,1,0,2,3,1
31efc93a-e2b5-5cb2-ba5f-f5443a35b62c,cn_k12,7,2,0,1,2,0,10,4,1,1,2,0
4d68f3d1-8427-5af8-96bf-7d0f58930f1a,math_train,6,3,0,5,4,2,10,4,1,10,5,3
ec2f2451-4ac7-5e28-99c6-967feccc2f70,math_train,34,30,3,22,16,14,19,8,1,3,3,1
ac854115-e733-5bff-8740-8d36f44ea197,math_test,53,23,11,42,32,28,98,59,28,52,30,26
869a2011-6291-5312-9a4d-7a9a7c238126,cn_k12,12,8,3,1,2,0,8,4,0,1,2,0
63a3f3f5-12cc-520c-9f94-005e053459b3,olympiads_ref,107,51,10,36,10,9,85,43,25,55,11,10
a41e71a8-fd09-53bc-b715-24ed0b97d916,cn_k12,14,10,0,4,4,3,57,39,21,13,9,8
a3f82c75-6aad-5392-aea7-01ffe1034571,aops_forum,12,5,0,1,3,0,14,8,3,3,5,2
2fe3edb5-e17d-5b26-8aea-b919c490721a,olympiads_ref,6,3,1,3,3,2,4,2,0,5,4,3
05d55f6d-3cfc-596d-ad62-4f053cfdacb1,cn_k12,20,9,3,9,6,5,30,12,10,15,7,6
a4b6f46f-d816-5216-931b-58dc887a356e,math_train,22,14,1,4,3,0,10,5,0,1,2,0
bf7f9742-ed69-5a7f-a4f8-47e75745393f,math_train,5,1,0,1,2,1,5,1,0,3,3,2
b7f5af11-6fc9-515e-9ec5-d3c0e29c5682,math_train,4,1,0,3,2,0,4,1,0,3,2,0
81a23aeb-e013-5e29-973e-d2c669e4c4b1,math_train,16,6,1,2,3,1,3,1,0,2,3,1
26741d23-193e-59bf-a84f-53db441ea0e9,math_test,32,22,11,3,4,3,42,22,16,4,5,4
5351e245-e9aa-58ee-8c9e-d58da6c2e74b,math_test,4,1,0,1,2,0,9,3,1,1,2,0
f17d5666-88ce-5567-9755-abbce07c2c64,aops_forum,3,1,0,2,3,2,4,2,0,5,4,3
14da2adf-2035-5131-a3e5-58d937ad518b,number_theory,19,7,2,13,14,12,2,0,0,2,4,2
a60ac2eb-9cef-53a0-b0b7-3271a9457767,number_theory,4,0,0,6,2,1,4,0,0,6,2,1
f5543c0c-2979-537c-942c-f20ce5d3d87c,math_train,12,6,2,4,5,4,24,12,4,6,5,4
c41a8ca9-da84-5a28-b2ba-3fa6a86d7bee,olympiads_ref,44,23,16,10,3,0,5,2,0,3,2,0
6301c32d-e390-5f51-88ce-256268ecf562,number_theory,3,2,0,3,4,3,4,1,0,2,3,2
94e75697-a907-57b4-a6c7-e6d8cfe3d228,math_train,3,1,0,4,3,2,3,1,0,5,4,3
c41e393b-0307-5ab3-9ee3-63295526c6e3,math_test,1,0,0,5,3,0,6,4,0,5,3,0
4a1db50a-2b22-5907-9299-3aca70b3e6aa,secondary_math,9,3,1,2,2,1,8,2,1,2,2,1
e4a0a866-2951-5f94-9ab1-de911b4685a8,math_test,2,0,0,2,3,1,2,0,0,2,3,1
651ba6a0-aeda-5043-8b9f-649149fe54ad,olympiads,2,0,0,2,2,0,3,0,0,2,2,0
609a472f-a9a2-52f8-935a-afb01dd49234,olympiads_ref,45,23,6,3,5,3,46,24,7,3,5,3
74caf35f-c9a5-5e7c-880c-23b2ac90601d,math_test,2,1,0,2,3,1,2,0,0,2,3,1
759606e4-d3e7-56ba-b04a-22adc1e7f59c,math_train,6,4,0,5,3,1,7,4,0,5,3,1
ba2e53aa-02e4-5629-8f1b-7a69077f5e65,math_train,75,42,10,31,22,16,39,23,6,12,11,8
e7428422-9cc2-57d8-9e75-d98a368950ea,math_test,6,2,0,10,5,4,5,2,1,10,5,4
2fc6a122-9b2a-5c1a-b1f2-f8138c33c7f6,amc_aime,4,1,0,7,3,0,26,15,7,22,3,0
4a23a011-53d2-5c67-9ccf-207c60633909,number_theory,25,16,1,14,14,13,21,14,1,8,8,7
a72bc4ae-028c-5e9b-9167-05697171858f,olympiads,10,4,2,1,2,1,9,3,2,1,2,1
