group,name,mode,alpha10
ai_dsv2,algebra_amgm_sum1toneqn_prod1tonleq1,term,2.089085025533773
ai_dsv2,algebra_amgm_sumasqdivbgeqsuma,term,2.2524248153911484
ai_dsv2,algebra_apbon2pownleqapownpbpowon2,term,2.3636473328601055
ai_dsv2,algebra_apbpceq2_abpbcpcaeq1_aleq1on3anbleq1ancleq4on3,term,2.3367158433355204
ai_dsv2,algebra_bleqa_apbon2msqrtableqambsqon8b,term,2.2225517063296905
ai_dsv2,algebra_others_exirrpowirrrat,term,2.090575151409353
ai_dsv2,algebra_sqineq_at2malt1,term,2.1857186779354847
ai_dsv2,algebra_sqineq_unitcircatbpabsamblt1,term,2.2548613362133167
ai_dsv2,algebra_sqineq_unitcircatbpamblt1,term,2.2104407147909084
ai_dsv2,algebra_sum1onsqrt2to1onsqrt10000lt198,term,2.2479584810592863
ai_dsv2,amc12_2000_p20,term,2.3156365623991824
ai_dsv2,amc12_2000_p6,term,2.178340513823543
ai_dsv2,amc12_2001_p5,term,2.143153005160181
ai_dsv2,amc12a_2002_p13,term,2.405544371961147
ai_dsv2,amc12a_2002_p6,term,2.1117533912202027
ai_dsv2,amc12a_2003_p5,term,2.382117252939704
ai_dsv2,amc12a_2008_p25,term,2.404799214409694
ai_dsv2,amc12a_2009_p6,term,2.0237233740998986
ai_dsv2,amc12a_2009_p7,term,2.357205326448436
ai_dsv2,amc12a_2013_p4,term,2.101511691017793
ai_dsv2,amc12a_2019_p12,term,2.2478904879280925
ai_dsv2,amc12a_2020_p15,term,2.2304516518038113
ai_dsv2,amc12a_2021_p14,term,2.216125425041101
ai_dsv2,amc12a_2021_p18,term,2.2459008777193388
ai_dsv2,amc12a_2021_p19,term,2.269262806487122
ai_dsv2,amc12a_2021_p22,term,2.377909877127524
ai_dsv2,amc12a_2021_p3,term,2.0361193220861793
ai_dsv2,amc12a_2021_p8,term,2.1301771036294856
ai_dsv2,amc12a_2021_p9,term,1.9725061530141643
ai_dsv2,amc12b_2002_p19,term,2.409823916769963
ai_dsv2,amc12b_2002_p2,term,2.0244501228977505
ai_dsv2,amc12b_2002_p7,term,1.9986383141080724
ai_dsv2,amc12b_2020_p13,term,2.266258625503851
ai_dsv2,amc12b_2020_p21,term,2.2354710794597397
ai_dsv2,amc12b_2020_p22,term,2.243721321113688
ai_dsv2,amc12b_2020_p2,term,2.0865893202602264
ai_dsv2,amc12b_2020_p6,term,2.1840980712777576
ai_dsv2,amc12b_2021_p18,term,2.350310983161193
ai_dsv2,amc12b_2021_p1,term,2.248332874539141
ai_dsv2,amc12b_2021_p3,term,2.494780097736519
ai_dsv2,amc12b_2021_p4,term,2.285305009951425
ai_dsv2,amc12b_2021_p9,term,2.3203134536243484
ai_dsv2,imo_1959_p1,term,2.0977521352729056
ai_dsv2,imo_1960_p2,term,2.2608035811967335
ai_dsv2,imo_1962_p2,term,2.3928285207015114
ai_dsv2,imo_1963_p5,term,2.261880093833687
ai_dsv2,imo_1964_p2,term,2.432744778559859
ai_dsv2,imo_1965_p2,term,2.511885857552491
ai_dsv2,imo_1968_p5_1,term,2.1825104322214868
ai_dsv2,imo_1981_p6,term,2.289842833040409
ai_dsv2,imo_1983_p6,term,2.2535591743771373
ai_dsv2,imo_1992_p1,term,2.26079520528138
ai_dsv2,induction_11div10tonmn1ton,term,2.11487854873793
ai_dsv2,induction_12dvd4expnp1p20,term,2.033314068942247
ai_dsv2,induction_1pxpownlt1pnx,term,2.2557828059211733
ai_dsv2,induction_nfactltnexpnm1ngt3,term,2.2279071688090415
ai_dsv2,induction_pord1p1on2powklt5on2,term,2.144744394151708
ai_dsv2,induction_pprime_pdvdapowpma,term,2.0339114767415554
ai_dsv2,induction_prod1p1onk3le3m1onn,term,2.2756296066220743
