src,dst,cls,sub,load,capacity
3151,3049,machine,SimpleRewrites,3,3244
4034,4030,machine,SimpleRewrites,3,404096
1447,1868,machine,VampireProven,7,67240
2226,2181,machine,SimpleRewrites,0,104532
3107,4444,machine,VampireProven,0,4707
4115,4102,machine,SimpleRewrites,0,168960
325,3521,machine,TrivialBruteforce,5,7476
3200,3151,machine,SimpleRewrites,2,4743
135,124,machine,SimpleRewrites,4,14960
2989,2861,machine,SimpleRewrites,0,6368
3496,3484,machine,SimpleRewrites,2,36917
1753,1751,machine,SimpleRewrites,2,7022224
3679,3673,machine,SimpleRewrites,0,6111
3505,3500,machine,SimpleRewrites,0,126852
3993,3877,machine,SimpleRewrites,4,5931
4515,4431,machine,SimpleRewrites,3,10795
1849,1831,machine,SimpleRewrites,0,3928
3736,3713,machine,SimpleRewrites,3,6141
2579,2499,machine,SimpleRewrites,6,7022224
6,40,human,Subgraph,0,2327776
4147,4131,machine,SimpleRewrites,14,47366
598,562,machine,SimpleRewrites,22,7022224
3235,3233,machine,SimpleRewrites,2,7022224
2693,2656,machine,SimpleRewrites,4,570121
3903,3901,machine,SimpleRewrites,0,42284
3037,3035,machine,SimpleRewrites,0,7022224
1295,2900,machine,VampireProven,0,7022224
145,1419,machine,TrivialBruteforce,11,965425
3275,319,machine,MagmaEgg,0,99705
835,816,machine,SimpleRewrites,0,3162
4492,4484,machine,VampireProven,4,87390
3590,3387,machine,MagmaEgg,4,32576
395,4255,machine,TrivialBruteforce,7,2979740
320,313,machine,SimpleRewrites,0,550179
1874,1667,machine,MagmaEgg,7,24388
2972,2935,machine,SimpleRewrites,0,17512
2872,2846,machine,SimpleRewrites,0,3290
1200,1182,machine,SimpleRewrites,0,7022224
1963,1773,machine,MagmaEgg,2,245804
2325,2312,machine,SimpleRewrites,0,7022224
3590,3548,machine,SimpleRewrites,0,6108
448,630,machine,VampireProven,0,1902338
2768,2763,machine,SimpleRewrites,1,7022224
1557,13,machine,MagmaEgg,0,182428
316,3298,machine,TrivialBruteforce,0,116998
4361,4319,machine,SimpleRewrites,1,4806
1423,1,machine,GeneratedOther,0,7022224
2249,2286,machine,VampireProven,0,965425
1013,1003,machine,SimpleRewrites,21,570121
2286,2274,machine,SimpleRewrites,0,965425
328,3540,machine,TrivialBruteforce,53,38544
4381,4379,machine,SimpleRewrites,0,4446
1007,891,machine,SimpleRewrites,1,7022224
4602,4584,machine,SimpleRewrites,2,7143
227,2539,machine,VampireProven,1,4749
3282,3253,machine,SimpleRewrites,0,7712
4680,4637,machine,SimpleRewrites,0,55468
1627,1623,machine,SimpleRewrites,29,7022224
1750,1748,machine,TrivialBruteforce,2,7022224
201,192,machine,SimpleRewrites,41,7022224
3715,4506,machine,MagmaEgg,0,24312
2917,2915,machine,SimpleRewrites,133,7022224
1200,1131,machine,SimpleRewrites,5,7022224
148,1,machine,GeneratedOther,34,7022224
717,1,machine,GeneratedOther,68,7022224
1459,1457,machine,SimpleRewrites,0,104532
3540,3536,machine,SimpleRewrites,12,14460
4303,4271,machine,SimpleRewrites,0,7143
278,271,machine,SimpleRewrites,3,7022224
2504,2497,machine,EquationSearch,0,7022224
3707,3670,machine,SimpleRewrites,1,13468
1815,1796,machine,SimpleRewrites,3,146856
